stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,23,10,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0
 24-34,0,0,0,12.31,0,0,8.21,0,0.82,1.64,0.82,0.82,0,9.85,0,0,0,0,0,0,231.48,0,0,217.53,39.4,0.82,0,0,0,0,2.46,0,0,0,1.64,9.03,0,0,2.46,0,2.46
 36-46,0,0,0,4.03,0,0,6.45,0,0.81,25.78,2.42,0,0,17.72,0,0,0,0,0,0,503.54,0,6.45,168.38,29,4.03,3.22,0,0,1.61,2.42,0,0,0.81,0,6.45,0,0,3.22,0,0.81
 48-58,0,0,0,4.02,0,0,21.8,0,1.72,37.3,4.59,0,0.57,12.05,0,0,0,0.57,0.57,0.57,640.94,0,14.92,125.66,52.22,1.15,0,1.15,0,4.59,2.3,0,0,0,0,16.07,0,2.3,2.87,0,8.61
 60-70,0,0,0,4.91,0.98,0,27.48,0.98,5.89,42.21,6.87,0.98,0,6.87,0.98,0,0,0.98,1.96,0,1083.6,0.98,41.22,103.06,52.02,0,0.98,0.98,0,6.87,2.94,0,0.98,0.98,0,18.65,0,23.56,0.98,17.67,6.87
 72-82,0,0,0,21.6,3.93,0,114.85,4.91,4.91,69.7,15.71,2.94,0,9.82,1.96,0.98,3.93,1.96,0.98,0,1984.92,0.98,103.07,155.1,109.95,0,0,0,0,10.8,4.91,0,0,0.98,0,13.74,0.98,66.75,10.8,76.57,5.89
 84-94,0,0,0,22.3,7.43,1.06,180.55,1.06,3.19,57.35,20.18,4.25,0,8.5,5.31,0,2.12,0,2.12,3.19,1446.49,1.06,105.14,117.89,41.42,1.06,1.06,2.12,0,6.37,2.12,0,0,1.06,0,7.43,1.06,58.41,5.31,74.34,2.12
 96-106,0,1.09,1.09,34.97,5.46,2.19,125.68,5.46,7.65,49.18,26.23,3.28,0,13.11,5.46,0,0,2.19,2.19,3.28,1601.02,0,97.26,110.38,121.31,2.19,1.09,2.19,0,22.95,8.74,0,3.28,0,0,3.28,2.19,59.01,9.84,116.93,4.37
108-118,0,0,0,20.68,3.06,0.77,68.94,0.77,5.36,50.55,11.49,1.53,0,12.26,6.13,1.53,4.6,0.77,1.53,0.77,1641.46,0.77,81.96,100.34,111.06,0.77,0.77,0.77,0,25.28,4.6,0,1.53,0,0,3.06,0.77,33.7,11.49,65.11,6.13
120,0,1.96,0,21.56,3.92,0,43.12,1.96,9.8,45.08,9.8,3.92,0,11.76,0,0,0,0,5.88,1.96,1416.93,0,70.55,109.75,92.11,3.92,3.92,0,0,21.56,0,0,0,0,0,1.96,0,33.32,7.84,76.43,3.92
