stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,39.53,672.07,0,0,0,0,0,0,0,0,26.36,0
  5-6,18.39,367.78,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,2.63,0,0,0,0,34.17,2.63,7.89,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,1
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,0,0.81
 48-58,0,0,0,0.57,2.87,0.57,0.57,3.44,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,0,0.98,1.96,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0,0,0,0
