stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,2,1,0,3,0,0,0,0,2,0,0,32,2,0,0,0,0,0,6,1,4,15,0,0,0,0
 24-34,0,0.82,2.46,4.93,0,0.82,0,0,0.82,0.82,4.1,0,0.82,51.71,0,0.82,0.82,0,0,7.39,0,0,2.46,16.42,0,0,0,0
 36-46,0,1.61,1.61,8.06,0,3.22,0,0,0,0.81,1.61,0,0,21.75,0,0.81,0,0,0,4.03,0,0,0,11.28,0,0,0,0.81
 48-58,0,0,0,10.33,0,2.3,0,0,0,0.57,5.16,0.57,1.15,11.48,0,0,0,0,0,0.57,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,15.7,0,0.98,0,0,0,0.98,1.96,0,0,8.83,0,0,0,0,0.98,0.98,0,0,0,0.98,1.96,0,0,0
 72-82,0,0,0,0,0,3.93,0,0,0,0,7.85,0,0,7.85,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,2.12,1.06,0,0,1.06,0,0,2.12,0,0,3.19,0,0,0,0,0,3.19,0,0,0,2.12,0,0,0,0
 96-106,0,1.09,0,1.09,0,2.19,1.09,0,0,0,1.09,0,0,3.28,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0.77,5.36,0,0,0,0,0,0.77,0.77,0,1.53,4.6,0,0,0,0,0,1.53,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0
