stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vasculature
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,20,0,0,0,0,0,1,0,16,0,0,0,0,0,0,1,8,1,0,0,0,0,3,2,0
 24-34,0,0,0,0,0.82,8.21,2.46,0.82,0,0,0,9.03,1.64,13.13,0,0,0,1.64,0,0,1.64,14.78,0,0.82,0,1.64,0,0,4.1,9.85
 36-46,0,0,0,0,0,0,4.83,0,0,0.81,0,4.03,0,12.09,0,0,0,2.42,0,0,3.22,12.89,0.81,0,0,0,0,0,2.42,3.22
 48-58,0,0,0,0,0,0,3.44,0,0,1.15,0,1.72,0,19.51,0.57,0,0,1.72,0.57,0,0.57,17.21,0,0,0,0,0,0,2.3,1.15
 60-70,0,0,0,0,0.98,0,4.91,0,0,0.98,0,1.96,0,21.59,0,0,0,3.93,0,0,0.98,23.56,0,0,0,0.98,0,0,2.94,0
 72-82,0,0,0,0,0,0,5.89,0,0,0.98,0,5.89,0,43.19,0,0,0,4.91,0.98,0,0,17.67,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,2.12,1.06,4.25,0,0,1.06,0,1.06,0,50.98,0,0,0,2.12,1.06,2.12,0,6.37,0,0,0,1.06,0,0,1.06,3.19
 96-106,0,0,3.28,0,0,0,3.28,0,0,2.19,2.19,1.09,0,56.83,0,1.09,0,1.09,2.19,0,0,4.37,0,0,1.09,0,1.09,0,0,1.09
108-118,0,0,0.77,0,0.77,0,5.36,0.77,0,1.53,3.06,0,0,33.7,0,0,0.77,0,0.77,0,0,10.72,0.77,0,1.53,0.77,0,0,0,3.06
120,0,0,0,0,7.84,0,0,0,1.96,1.96,0,0,0,43.12,0,0,0,3.92,0,0,3.92,3.92,0,0,1.96,0,0,0,1.96,0
