stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,3,0,1,0,0,0,1,0,2,0,0,0,0,3,0,3,6,3,0,0,0,2,0,3,4,0,2,0,0
 24-34,0,0,0,0,3.28,0.82,0,0,0,0,1.64,0,0,1.64,0,0,0,0.82,9.03,0,10.67,9.85,0.82,0,0,0,0,0,0,4.93,0,8.21,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0.81,1.61,0,0.81,3.22,0,0,0,0,8.06,0,4.03,7.25,1.61,0,0,0,0,0,0,1.61,0,6.45,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0.57,1.15,0,2.3,5.74,0,0.57,0,0,10.9,0,2.3,2.87,0,0.57,0,0,0,0,0,0.57,0,4.59,0,0
 60-70,0,0,0,0,0,0,0,1.96,2.94,0.98,2.94,0.98,0,13.74,0,0,0,0,29.45,0,5.89,3.93,1.96,0,0,0,0,0,0,2.94,0,5.89,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0,2.94,3.93,0.98,3.93,5.89,0,0.98,0.98,0,22.58,0.98,2.94,8.83,0,0,0,0.98,0,0,0,0.98,0,8.83,0,0
 84-94,0,0,0,0,2.12,0,0,2.12,0,0,3.19,2.12,1.06,20.18,0,0,0,0,14.87,1.06,3.19,3.19,0,0,0,0,0,0,0,0,0,13.81,0,0
 96-106,0,0,1.09,1.09,3.28,0,2.19,2.19,0,2.19,2.19,6.56,2.19,12.02,1.09,1.09,0,0,22.95,1.09,2.19,7.65,0,1.09,0,1.09,0,0,0,0,2.19,10.93,1.09,0
108-118,0,0,0,0,3.83,0,0.77,0,3.06,0,0,3.83,1.53,15.32,0,0,0.77,1.53,26.04,0.77,0.77,3.06,1.53,0,0,0.77,0,0.77,0,0,0.77,6.13,0,1.53
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,11.76,0,0,0,3.92,9.8,0,0,3.92,1.96,0,0,0,0,0,0,0,0,1.96,0,0
