stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,5,38,0,0,0,1,0,2,5,0,0,11,15,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,5.75,0,1.64,0.82,1.64,0,0,0.82,0,1.64,0,0,0,0,14.78,0,0,9.03,112.46,1.64,0.82,0,0,0,4.1,0,1.64,0,0,42.68,0,0,3.28,0,0
 36-46,0,0,0,0.81,0.81,21.75,0.81,0,0.81,12.09,0,0,0,0,0,0,0.81,0,0.81,15.31,0,1.61,1.61,172.41,2.42,1.61,0.81,0,0.81,7.25,0,0,0.81,0,56.4,0,0,3.22,0,0
 48-58,0,0,0,1.15,0,32.13,0,0.57,0.57,38.44,0,0,0.57,1.15,0,0,0,0,1.15,21.8,0,1.15,8.61,113.04,1.15,0,0.57,0,0,3.44,0,0,0,0,41.89,0,0.57,0.57,0,0
 60-70,0,0,0,2.94,0,37.3,0,0,0.98,30.43,0,0,0.98,0,0,0,0.98,0,0,45.15,0,1.96,4.91,79.5,0.98,2.94,2.94,0,0,5.89,0,0,0,0,25.52,0,0,1.96,0.98,0.98
 72-82,0,1.96,0,3.93,0.98,34.36,0,0,7.85,27.49,0.98,0,0,0.98,0,0.98,0.98,0,0,39.27,0,0.98,6.87,59.88,0.98,0.98,1.96,0,0.98,4.91,0,0,0,0,4.91,0,1.96,2.94,2.94,0
 84-94,0,2.12,1.06,6.37,2.12,24.43,0,1.06,5.31,28.68,2.12,0,0,2.12,0,3.19,0,0,0,42.48,0,1.06,3.19,55.23,0,0,2.12,0,1.06,9.56,0,0,0,0,6.37,0,3.19,4.25,6.37,0
 96-106,0,0,0,3.28,1.09,24.04,0,0,2.19,25.14,1.09,0,0,3.28,0,1.09,0,0,0,27.32,1.09,1.09,2.19,44.81,0,2.19,3.28,0,0,2.19,0,0,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0,3.06,1.53,18.38,0,5.36,1.53,13.79,0.77,0,0,0.77,0.77,0,0,0.77,0,24.51,0,0,2.3,39.06,0,1.53,0,0,0,7.66,0,0,0,0,0,0.77,0,0.77,1.53,1.53
120,0,0,0,1.96,0,9.8,0,0,0,15.68,3.92,0,0,0,0,1.96,0,0,0,9.8,0,0,3.92,31.36,3.92,0,0,0,0,7.84,0,0,0,0,0,0,0,5.88,1.96,0
