stage,epidermis,eye,glial,gut,lateral_line,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,8,0,0,1,0,2,0
 24-34,0,4.1,2.46,0,0,1.64,26.27,0.82,0.82,0.82,0,8.21,0.82
 36-46,0,6.45,0,0,0,1.61,16.11,0,0,0,0,0.81,0
 48-58,0,6.89,0,0,0.57,2.3,2.87,0,0,0,0,0.57,0
 60-70,0,4.91,1.96,0,0,0,3.93,0,0,0,0,0,0
 72-82,1.96,1.96,0.98,0,0,0.98,2.94,0,1.96,0,0,0,0
 84-94,1.06,2.12,1.06,0,0,0,4.25,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,2.19,1.09,0,0,0,0,0
108-118,0,0.77,1.53,0.77,0,0,5.36,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
