stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,92,0,0,3,0,1,0,1,2,0,1,0,0,0,0,0,5,0,0,1,19,1,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0
 24-34,0.82,0,0.82,0,40.22,0,0,2.46,0,0.82,0,10.67,0,0,0,0,0,0,0,0,9.85,0,0,1.64,29.55,0,0,0,0,0,0.82,0,0,0,0,11.49,0,0,0,0,0.82
 36-46,0,0,0,0,53.17,0,0,9.67,0,9.67,0.81,14.5,0,0,0,0,0,0,0,0,7.25,0,0,0.81,33.84,0,1.61,3.22,0,0.81,0,0,0,0,0,5.64,0,0,0.81,0,0
 48-58,0,0,0,0,118.78,0,0,12.05,0.57,12.62,0,8.03,0,3.44,0,0,0,0,0.57,0,15.49,0.57,4.59,2.3,21.8,0.57,0,4.59,0,1.15,0.57,0,0,0,0,9.18,0,0,0,0.57,0
 60-70,0,0,0,0,213.97,0.98,0,34.35,0.98,32.39,1.96,27.48,0.98,2.94,1.96,3.93,0,0,0,0,38.28,3.93,14.72,0,30.43,0.98,0,2.94,0,1.96,1.96,0,0,0,0,9.82,0,3.93,0,11.78,0.98
 72-82,0,0,0,0,418.19,0.98,0,38.28,3.93,60.86,0.98,85.4,1.96,2.94,0,6.87,0.98,0,0,0,76.57,1.96,4.91,3.93,53.99,0.98,0,7.85,0,1.96,0,0,0,0,0,8.83,2.94,11.78,0,27.49,0.98
 84-94,0,0,1.06,0,839.01,0,1.06,28.68,6.37,148.69,0,52.04,4.25,4.25,1.06,12.74,1.06,0,0,2.12,41.42,8.5,20.18,2.12,16.99,0,0,6.37,0,0,2.12,0,0,0,0,2.12,3.19,8.5,0,30.8,1.06
 96-106,0,0,1.09,0,1130,2.19,0,29.51,3.28,182.51,0,103.82,4.37,0,0,12.02,0,2.19,5.46,0,54.64,17.49,3.28,3.28,64.48,3.28,3.28,14.21,0,1.09,3.28,0,1.09,0,0,2.19,1.09,17.49,1.09,39.34,1.09
108-118,0,0,0.77,0,1188.01,2.3,1.53,11.49,4.6,250.47,2.3,94.98,8.43,0,0,19.92,0.77,0,1.53,0.77,56.68,7.66,5.36,6.13,33.7,7.66,1.53,11.49,0,1.53,2.3,0,0.77,1.53,0,3.83,3.83,9.19,0,19.92,3.83
120,0,0,0,0,807.43,0,1.96,17.64,3.92,188.14,0,72.51,5.88,0,0,13.72,0,1.96,0,1.96,76.43,13.72,1.96,1.96,37.24,9.8,0,15.68,0,0,5.88,1.96,0,0,0,1.96,0,7.84,0,33.32,0
