stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,0,0,0,0,0,0,23.66,0,0,10.51,0,2.63,0,0,0,0
 10-12,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,75.53,3.15,0,18.88,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,7.39,0,0,0,0,8.21,0,0.82,0,0
 36-46,0,0,1.61,0,1.61,0,0,0,0,0,0,0,0,5.64,0,0,0,0,10.47,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,1.15,0,0,0,1.72,0.57,0,7.46,0,0,0,0,4.02,0,2.3,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,8.83,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,0,0.98,0.98,0,0.98,0,0,0,5.89,0,0,0,0,8.83,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,4.25,1.06,0,0,1.06,0,3.19,0,0,0,0,29.74,0,0,0,2.12
 96-106,0,0,3.28,0,4.37,0,1.09,2.19,0,0,1.09,0,0,4.37,0,0,0,1.09,28.41,0,0,0,2.19
108-118,0,0,2.3,0.77,1.53,0,0,0.77,2.3,0,0.77,0.77,0.77,3.06,0,1.53,0,0,13.79,0,0,0.77,1.53
120,0,0,5.88,0,0,0,0,3.92,3.92,0,0,0,1.96,5.88,0,0,0,0,35.28,0,0,0,0
