stage,blastomeres,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,13.14,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,15.73,0,3.15,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0
 24-34,0,4.93,0,0,0,0,0,0,55,0,0,0,0,0,3.28,0,0,0,0,0,0,4.1,0
 36-46,0,0.81,0,0,0,0,0,0,68.48,0,0,0,0,0,1.61,0.81,0,0,0,0,0,6.45,0
 48-58,0,4.02,0.57,0,0.57,0.57,0,0,57.95,0,0,0.57,0,0,4.59,0,0,0,0,1.15,0,11.48,0.57
 60-70,0,7.85,3.93,0,0,0,0,0,68.71,0,0,5.89,0,0,2.94,0,0,0,0,0,0,19.63,0
 72-82,0,15.71,0,0,0,0,0,0,129.58,0,0,9.82,0,0,6.87,0,0,0,0,0.98,0,32.39,0
 84-94,0,13.81,1.06,0,0,1.06,0,0,155.06,1.06,0,8.5,1.06,1.06,2.12,0,0,0,0,0,0,30.8,0
 96-106,0,21.86,2.19,1.09,0,1.09,0,0,196.71,0,1.09,10.93,0,1.09,4.37,0,0,0,0,0,1.09,33.88,0
108-118,0,29.11,1.53,0.77,0.77,0.77,0.77,0,123.32,0,0,13.02,0,0,6.89,0,0,0,0,0.77,0,28.34,0
120,0,27.44,1.96,0,0,0,0,0,180.3,0,0,9.8,0,0,0,0,0,1.96,0,0,0,33.32,0
