stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.73,0,9.44,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0
 24-34,1.64,0,0,0,0,0.82,0,0.82,0,1.64,0,27.91,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,25.78,0.81,0.81,0.81
 48-58,0,0,1.15,0,0.57,0,0,0,0,4.02,0,9.18,0,0,1.15
 60-70,0.98,0,0,0,1.96,0,0,0.98,0,4.91,0,14.72,0,0,1.96
 72-82,0.98,0,0.98,0,0,0,0,0.98,0,4.91,0,11.78,0,0,0
 84-94,0,0,2.12,1.06,0,0,1.06,0,1.06,1.06,0,44.61,0,0,0
 96-106,1.09,0,0,1.09,0,0,0,0,1.09,3.28,0,32.79,0,0,0
108-118,0,0.77,0,0.77,0,0,0,0,0,3.06,0,18.38,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,31.36,0,0,0
