stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,41,1,0,0,1,1,0,1,0,0,9,0,2,5,0,2,2,2,0
 24-34,0,7.39,0.82,2.46,0,0,0,0.82,0,0,0,11.49,0.82,0.82,4.93,0,0,0,0,0.82
 36-46,0,3.22,0,2.42,0,1.61,0,0,0,0,0,6.45,0.81,1.61,5.64,0.81,0,0,0,0.81
 48-58,0,0.57,0,0.57,0.57,0,0,0.57,0,0,0,2.3,0.57,0,8.61,0,0,0,0,1.15
 60-70,0,0.98,1.96,0.98,0,0,0,0,0,0,0,1.96,0,0,12.76,0,0,0,0,3.93
 72-82,0,0.98,0,0.98,0.98,0,0,0,0,0,0,1.96,0,0,9.82,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
