stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,5.26,7.89,0,0,5.26,0,0,0,2.63,0,0,0,60.46,0,0,0,23.66,0,0,0,0,0
 10-12,0,0,15.73,0,0,9.44,0,0,0,3.15,0,0,0,107,9.44,0,0,44.06,0,9.44,0,0,0
 14-21,0,0,1,2,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,3,0,0
 24-34,0,0,0,0.82,0,0,0.82,0.82,0,0,0,0.82,0,17.24,0,0,0,0,0,0,3.28,0,0.82
 36-46,0,0,0,0.81,0,1.61,0,0,0.81,0,0,0.81,0,13.7,0,0,0,0,0.81,0,4.03,0,0
 48-58,0,0,0,0.57,0,3.44,0,0,0.57,0,0,2.87,0,14.92,0,0,0,0,0,0,2.87,0,0.57
 60-70,0,0,0,0,0,5.89,0,0.98,0.98,0,1.96,1.96,0,14.72,0,0,0.98,0,0,0,5.89,0.98,0
 72-82,0,0,0,0,0.98,4.91,0,0,0,0,0,1.96,0,10.8,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,0,5.31,0,0,0,0,0,0,0,4.25,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,0,0,0,2.19,1.09,6.56,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0,0,0.77,2.3,0,4.6,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,5.88,0,0,0,0,1.96,0,0,0,0
