stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,23.66,0,0,44.69,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,178.75,10.51,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,3.15,12.59,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,324.14,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,52,2,3,0,0,0,2,1,0,0,0,0,0,0,0,27,0,0,36,92,2,1,1,0,0,1,5,0,28,22,0,1,0,0
 24-34,0,0,0,1.64,11.49,1.64,9.03,0,0,0,4.1,1.64,0,1.64,0,0,0,0,0,123.13,0,0,45.97,77.98,0,8.21,0,0,1.64,0,0.82,0,4.1,30.37,0,1.64,0,0
 36-46,0,0,0,0,6.45,0,4.83,0,0.81,2.42,2.42,1.61,0,4.83,0,0,1.61,0.81,0,186.11,0,2.42,38.67,37.87,0.81,4.03,0,0,0,0,0,0,0,20.95,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,8.03,0.57,2.87,2.3,2.3,0.57,0.57,1.15,0,0,2.87,0,2.3,220.91,0,4.02,32.71,22.38,0,3.44,0,0.57,0,0,0,0,0,6.31,0.57,2.3,0,0
 60-70,0,0,0.98,0,1.96,0,3.93,0,0.98,3.93,1.96,0,0,0.98,0,0,3.93,0,1.96,265.99,0,4.91,24.54,22.58,0,6.87,0,0,0,0,0,0,0,2.94,4.91,1.96,0.98,0
 72-82,0,0,0,0,1.96,0,6.87,0,0,3.93,19.63,0,0,1.96,0,0,3.93,0,0,242.47,0,9.82,26.5,15.71,0,10.8,0,0,0.98,0,0.98,0,0,0.98,4.91,0.98,2.94,0
 84-94,0,0,0,0,2.12,1.06,12.74,0,2.12,3.19,9.56,1.06,0,1.06,0,0,0,0,2.12,161.43,0,3.19,5.31,6.37,0,7.43,0,0,1.06,0,1.06,1.06,0,0,3.19,2.12,1.06,0
 96-106,0,0,0,0,6.56,0,6.56,1.09,1.09,0,8.74,0,0,2.19,1.09,1.09,0,1.09,2.19,120.21,0,4.37,8.74,15.3,0,7.65,0,1.09,2.19,0,2.19,0,0,0,5.46,3.28,1.09,0
108-118,0,0,0,0,2.3,0,5.36,0.77,0.77,0.77,6.89,0,0,0,0.77,0,0.77,0,1.53,117.96,1.53,2.3,5.36,9.19,0,9.19,0,0.77,0,0,0,0,0,0.77,2.3,3.06,0,0.77
120,0,0,0,0,7.84,0,3.92,0,1.96,3.92,5.88,0,0,0,0,0,0,0,0,92.11,0,3.92,5.88,7.84,0,3.92,0,1.96,1.96,0,1.96,1.96,0,0,1.96,1.96,1.96,1.96
