stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
 14-21,3,0,1,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0
 24-34,1.64,0,0,0,0,0,0,2.46,0,17.24,0,0.82,0.82,0,0,3.28,0,0
 36-46,0,0,3.22,0,0,0,0,0,0,6.45,0,0,0.81,0,0,3.22,0.81,0
 48-58,0,0,6.89,0,0.57,0,0,0.57,0,7.46,0.57,0,0.57,0,0,1.72,0,0
 60-70,0,0,7.85,0,1.96,0,0,0.98,0,14.72,0,0,0.98,0,0,3.93,0,0
 72-82,0,0,11.78,0.98,0.98,0,0,0.98,0,11.78,0,0,0,0,0,0.98,0,0
 84-94,0,0,3.19,0,0,1.06,0,1.06,0,4.25,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,3.28,0,2.19,0,1.09,1.09,1.09,3.28,0,0,4.37,0,0,0,0,0
108-118,0,0.77,2.3,0,0.77,0,0.77,0.77,0,1.53,0,1.53,1.53,0,0,0,1.53,0
120,1.96,0,3.92,0,0,0,0,5.88,1.96,7.84,0,0,0,0,0,0,0,0
