stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,1278.26,18831.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.72,0,0,0,0,0,0,0
  5-6,1710.17,17610.44,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,386.17,30.65,0,0,147.11,527.15,0,0,0,0,0,0,0
  7-9,252.36,189.27,365.39,0,0,570.43,0,0,0,289.16,0,0,0,0,0,0,6571.78,273.39,0,0,2436.82,36.8,36.8,0,0,0,0,0,0
 10-12,3.15,75.53,157.35,0,22.03,283.23,0,0,0,31.47,0,0,0,0,0,0,2193.44,91.26,0,0,969.27,3.15,15.73,6.29,97.56,0,15.73,3.15,0
 14-21,0,0,15,218,39,69,3,8,8,4,5,3,6,59,0,49,585,22,3,13,14,14,8,132,12,25,195,170,4
 24-34,0,0,1.64,5.75,0,9.03,4.1,0,0,0.82,0.82,0,1.64,15.6,0.82,8.21,65.67,3.28,0,0,0,12.31,0,0,0,0,0.82,22.98,3.28
 36-46,0,0,0,0,0,2.42,2.42,0,0.81,0,0,0,0,0.81,0,0.81,4.83,1.61,0,0,0,6.45,0.81,0,0,0.81,0,2.42,0
 48-58,0,0,0,0,0,1.72,4.02,0,0,0,0,0,0,1.15,0,1.15,2.87,0,0,0,0,4.59,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0.98,1.96,0.98,0.98,0,0,0,0,0,0.98,0,0,4.91,0,0.98,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,5.31,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,7.43,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,1.09,6.56,0,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0.77,0,5.36,0,0,0,0,0,0,2.3,0,0,2.3,0,0,0,0,1.53,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
