stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,47,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,4,0,0,1,0,0,0,1,2,0,31,0,0
 24-34,0,0,0.82,5.75,0,1.64,0,0,0,0,0,4.93,0,0,0,0,0,6.57,0,13.13,11.49,0,0,0,0,0,0,0,0,0,128.05,0,0
 36-46,0,0,0,0.81,0,2.42,0,0,0,1.61,0,3.22,0,0,0,0,0.81,18.53,0.81,18.53,15.31,0,0.81,0,0,0.81,0,0,0.81,0,64.45,0,0
 48-58,0.57,0,0.57,0,0,9.18,0,0,6.31,0,0,6.31,0,0,0.57,0,1.15,37.3,0.57,14.92,26.97,0,0,0,0.57,0.57,0,0,1.15,0,67.14,0,0.57
 60-70,0.98,0,0.98,0,0,28.46,0,0,10.8,6.87,0,7.85,0.98,0,0,0.98,0.98,86.37,5.89,12.76,56.93,0,0,0,6.87,0,0,0,0,8.83,63.8,3.93,0
 72-82,0,0,2.94,1.96,0,35.34,0,0,9.82,22.58,0,7.85,0,0,0,0,0,119.76,7.85,23.56,69.7,0,0,0,6.87,1.96,0,0,0.98,4.91,115.84,8.83,0
 84-94,0,0,3.19,2.12,0,111.51,1.06,0,8.5,10.62,0,7.43,1.06,1.06,1.06,0,1.06,62.66,18.05,4.25,43.54,0,0,0,8.5,0,0,0,1.06,6.37,89.21,5.31,0
 96-106,0,0,2.19,0,0,128.96,0,2.19,5.46,17.49,0,12.02,0,0,0,2.19,1.09,107.1,7.65,10.93,50.27,1.09,0,0,16.39,2.19,0,0,1.09,3.28,113.66,12.02,0
108-118,0,0,3.06,2.3,0.77,163.15,0,1.53,4.6,11.49,0.77,7.66,1.53,0.77,1.53,1.53,9.19,95.75,13.02,19.92,42.89,0,2.3,0,20.68,2.3,0.77,0,0,0,108,6.89,2.3
120,0,1.96,1.96,1.96,0,56.83,0,0,0,13.72,1.96,0,1.96,0,0,0,1.96,84.27,13.72,11.76,48.99,0,1.96,0,19.6,5.88,0,0,1.96,0,80.35,5.88,0
