stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,31.54,5.26,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,9.44,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,20,0,0,0,0,1,0,2,6,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0,0.82,0,0,0,6.57,0,4.93,16.42,0,0,0,0,0,0,0,4.93,1.64,0,0
 36-46,0,0,0,0,0.81,6.45,0,2.42,0,0,0,0,0,0,18.53,0.81,5.64,22.56,0,0,0,0,0,0,0,4.83,0.81,0,0
 48-58,0,0,0,0,0,5.74,0,2.3,0,0,0,0,0,0,10.9,0,1.72,16.64,0,0,0,0,0,0,0,4.59,0.57,0,0
 60-70,0,0,0,0,0,5.89,0.98,0.98,0,0,0,0,0,0,15.7,0.98,0.98,10.8,0,0.98,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0.98,0,0,4.91,0,3.93,0,0,0,0,0,0,11.78,0,0.98,15.71,0,0,0,0,0,0,0,2.94,0.98,0.98,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,0,8.5,0,3.19,8.5,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,3.28,0,2.19,0,0,0,1.09,0,0,13.11,0,3.28,18.58,0,3.28,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0,2.3,5.36,0.77,3.83,0,0,0,0,0,0.77,12.26,1.53,2.3,6.89,0,0.77,0,0.77,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,3.92,0,0,0,0,0,0,0,0,0,3.92,0
