stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1106.95,19055.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.68,0,0,0,0,0,0,0,0,0,0
  5-6,1526.28,18775.07,0,12.26,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,557.8,91.94,0,0,214.54,0,471.98,0,0,0,0,0,0,0,0,0,0
  7-9,226.07,233.96,0,481.05,0,5.26,0,843.82,0,0,0,0,0,312.82,0,0,0,0,0,0,0,0,0,0,0,8096.44,202.41,0,0,3517.22,0,52.57,42.06,0,2.63,0,0,0,0,0,0,0
 10-12,0,204.55,0,283.23,0,28.32,0,531.84,0,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,4500.17,59.79,0,0,2196.58,0,22.03,22.03,12.59,232.88,0,12.59,12.59,0,0,0,0
 14-21,0,2,1,44,507,189,0,277,0,0,0,41,16,8,2,9,13,1,0,1,0,215,0,0,199,2864,68,17,49,133,0,125,1,533,25,1,356,915,0,19,0,0
 24-34,0,0.82,0,9.03,155.96,107.53,0,605.79,0,0.82,3.28,63.21,4.1,4.1,4.1,21.34,2.46,7.39,4.1,5.75,2.46,411.25,6.57,0,165.81,3729.97,50.89,40.22,35.3,0,1.64,220.81,0,2.46,6.57,2.46,32.01,930.03,0,86.19,0,10.67
 36-46,0,0,0.81,1.61,67.68,43.51,0,985.33,0,1.61,0,60.43,4.03,0,4.03,20.95,0.81,7.25,3.22,4.83,2.42,294.07,3.22,6.45,111.99,2240.57,14.5,17.72,16.92,0,0.81,69.29,0,2.42,5.64,0,0.81,571.22,0,41.09,0,7.25
 48-58,0,0,0,0.57,76.32,49.92,0,1174,0,4.59,1.72,68.86,8.03,0,4.02,16.64,0.57,6.89,1.15,4.59,1.72,332.23,1.72,17.79,71.15,1144.74,8.03,8.03,13.2,0,0,29.84,0,0,2.3,0.57,0,210.01,0,35,0,5.16
 60-70,0.98,0,0,0,61.84,2.94,0,751.85,0,0,0,57.91,5.89,0.98,0.98,10.8,0.98,7.85,2.94,4.91,0.98,216.92,2.94,23.56,34.35,499.59,2.94,0.98,6.87,0,0,26.5,0,0,0.98,0,0,24.54,1.96,13.74,0,2.94
 72-82,0,0,0,0,76.57,7.85,0,298.43,0.98,0,1.96,72.64,32.39,0,3.93,15.71,0.98,4.91,0,9.82,0,186.52,0.98,10.8,34.36,378.92,3.93,4.91,10.8,0,0.98,8.83,0,0,0.98,0,0,11.78,0.98,37.3,0,1.96
 84-94,0,0,0,0,96.65,25.49,8.5,280.38,0,0,0,44.61,59.47,0,1.06,22.3,5.31,10.62,3.19,20.18,0,148.69,0,15.93,43.54,315.43,7.43,5.31,7.43,0,0,23.36,0,0,10.62,0,0,7.43,11.68,32.92,1.06,0
 96-106,0,0,0,0,57.92,27.32,3.28,213.11,0,1.09,1.09,49.18,50.27,0,6.56,37.16,4.37,5.46,6.56,21.86,0,95.08,0,8.74,22.95,265.56,6.56,6.56,14.21,0,1.09,28.41,0,0,6.56,0,0,2.19,5.46,34.97,1.09,3.28
108-118,0,0,0,1.53,41.36,35.23,0.77,178.47,0,0.77,0.77,39.06,20.68,0,1.53,26.04,3.06,3.06,0.77,18.38,0.77,69.7,0.77,8.43,22.98,309.45,5.36,6.89,8.43,0,0,20.68,0.77,0,6.13,0,0,1.53,5.36,27.57,0,0.77
120,0,0,0,0,7.84,37.24,1.96,160.7,0,0,0,23.52,5.88,0,0,27.44,0,3.92,0,5.88,0,58.79,0,1.96,9.8,248.89,0,3.92,3.92,0,0,5.88,0,0,1.96,0,0,9.8,1.96,21.56,0,1.96
