stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,6.57,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0.81,6.45,0,0,0,0.81,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0,4.02,0,0,0,0.57,0,0,0,0
 60-70,3.93,0,0,0,0.98,0,1.96,3.93,0,0,0,0,0,2.94,0.98,0,0,1.96,0,0,0,0
 72-82,9.82,0.98,0,0,0.98,0.98,0.98,13.74,0,0,0,0.98,0,8.83,0,0,0,3.93,0.98,0,0,0
 84-94,9.56,0,0,0,2.12,0,0,27.61,0,0,1.06,2.12,0,2.12,0,0,0,19.12,1.06,1.06,1.06,0
 96-106,6.56,0,2.19,0,0,0,1.09,41.53,0,1.09,1.09,1.09,0,6.56,1.09,0,0,7.65,1.09,0,0,2.19
108-118,1.53,0,0,0.77,0.77,0,1.53,58.21,0.77,0,0,0.77,0,7.66,0,0,0.77,15.32,0,0.77,0,0
120,0,0,1.96,0,0,0,0,37.24,0,0,1.96,0,0,1.96,0,0,0,13.72,0,0,0,0
