stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,2,19,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,5.75,0,0.82,4.1,0.82,0,1.64,0,2.46,0,0,0.82,0,3.28,0,0,0.82,127.23,4.1,1.64,0,0,0,0.82,32.83,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,17.72,0,0.81,5.64,0,0,0.81,0,0,0,0.81,0,0.81,2.42,0,0.81,0.81,174.83,6.45,0.81,0,0.81,0,0,57.2,0,0,0,0
 48-58,0,0,0,1.72,0,0,39.02,0.57,0,17.79,0,0.57,0,0,0,0,0,0,0,2.3,0,0.57,1.72,192.8,4.59,0,0,0.57,0.57,0,37.3,0,0,1.72,0.57
 60-70,0,0,0,1.96,0,0,98.15,0.98,0.98,26.5,0.98,1.96,0,1.96,0.98,0.98,1.96,0.98,0,7.85,0,0,0,267.96,2.94,1.96,0,0,0,0,44.17,0.98,0,0.98,1.96
 72-82,0,0,0,1.96,1.96,0,95.22,0.98,0,35.34,1.96,0,1.96,0,0,0,0,0,0,8.83,0,0.98,0,307.26,5.89,0.98,0,0,0,0,29.45,0.98,0.98,0,0.98
 84-94,1.06,0,0,1.06,1.06,0,75.4,0,0,20.18,3.19,2.12,0,0,0,0,0,0,0,11.68,0,1.06,1.06,138.06,3.19,1.06,0,0,0,0,16.99,1.06,1.06,0,0
 96-106,0,0,1.09,0,0,0,55.74,0,1.09,21.86,2.19,0,0,1.09,0,0,1.09,0,0,4.37,1.09,0,1.09,137.7,4.37,4.37,0,2.19,1.09,0,6.56,0,0,2.19,0
108-118,0,0,0.77,3.83,0.77,0.77,52.85,0,1.53,16.85,2.3,0,0,1.53,0,0,0.77,0.77,0,5.36,0.77,0,0.77,137.11,3.06,3.06,0,0.77,0,0,3.06,0,0,0,0.77
120,0,0,0,3.92,0,1.96,64.67,1.96,0,29.4,1.96,0,0,0,0,0,1.96,0,0,3.92,0,0,0,160.7,7.84,1.96,0,0,0,0,13.72,0,0,0,0
