stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,113.29,0,0,0,72.38,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,279,4,13,3,4,0,0,2,0,0,6,148,0,0,0,0,0
 24-34,0,0,0.82,0.82,2.46,0,178.95,0,0,0,23.8,0,0,0,0,0,0.82,0.82,0,4.93,0,3.28,1280.54,0.82,40.22,4.93,0,1.64,0,0,0,0.82,0.82,339.01,0,0,0.82,0,0
 36-46,0,0,0.81,0,5.64,0,788.75,0.81,0,0,48.34,0,0.81,0,0,0,0.81,0,0.81,9.67,0,3.22,2034.31,0.81,31.42,1.61,0,1.61,0,0,0,0,0,469.71,0,0,0.81,0,0.81
 48-58,0,0,0,0,4.02,0,654.14,0,0,0.57,68.28,0,0.57,0,1.15,0.57,0,0,0,10.9,0,0.57,1210.73,1.72,11.48,1.15,0,0.57,0.57,0,0,0,0,324.2,0,0,0,0,1.15
 60-70,0,0,1.96,0,1.96,0,462.3,0,0,0.98,93.24,0,0,0,0,0.98,0,0,0,10.8,0.98,0.98,685.1,0.98,4.91,0,0,0.98,0,0,0.98,0,0,156.06,0,0,0.98,0,1.96
 72-82,0,0,0,0,0.98,0.98,96.2,0.98,0.98,0,20.61,0.98,0,0.98,0,0,0.98,0,0,2.94,0,0.98,214.98,0,6.87,0.98,0,0.98,0,0,0,0,0,16.69,0,0,0.98,0.98,0
 84-94,0,0,1.06,0,2.12,0,114.7,0,0,1.06,14.87,1.06,0,0,0,0,0,0,0,4.25,0,0,196.48,0,4.25,0,0,1.06,0,0,0,0,0,29.74,0,1.06,0,0,0
 96-106,0,0,1.09,0,0,0,45.9,0,0,0,6.56,2.19,0,0,0,0,0,0,0,2.19,0,0,139.88,0,6.56,0,0,1.09,0,0,0,0,0,1.09,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0,46.72,0,0.77,0,10.72,0,0,0.77,0,0.77,0,0,0,3.83,0,0,127.92,0,4.6,0,0,0.77,0,0,0,0,0,0.77,0.77,0,0.77,0,0
120,0,0,0,0,0,0,39.2,0,1.96,0,7.84,0,0,0,1.96,0,0,0,0,0,0,0,94.07,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
