stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,724.79,11333.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.69,0,0,0,0,0,0,0,0,0
  5-6,925.57,12412.51,18.39,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,251.32,24.52,0,0,116.46,0,373.91,0,0,0,0,0,0,0,0,0
  7-9,147.21,191.9,270.76,0,2.63,0,578.32,0,0,0,0,173.5,0,0,0,0,0,0,0,0,0,0,0,5685.91,149.84,0,0,2071.43,0,21.03,39.43,0,0,0,0,0,0,0,0
 10-12,0,97.56,191.97,0,22.03,0,377.64,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,2851.15,53.5,0,0,1117.17,0,3.15,28.32,0,100.7,6.29,6.29,0,0,0,0
 14-21,0,0,15,74,29,0,47,0,0,9,8,1,2,0,2,0,1,1,0,60,0,0,52,782,16,6,8,22,0,14,2,109,5,48,269,0,0,3,0
 24-34,0,0,4.1,32.01,4.93,0,157.6,0.82,2.46,18.88,0.82,1.64,1.64,5.75,1.64,2.46,2.46,1.64,0,141.19,0.82,0,52.53,1389.71,6.57,11.49,9.03,0,0,41.86,0.82,0.82,2.46,9.03,286.48,0,0,12.31,0.82
 36-46,0,0,0.81,22.56,0.81,0,419.75,0.81,0.81,33.84,0,0,0.81,3.22,0.81,1.61,2.42,0,0,142.6,0,4.83,43.51,1101.35,4.03,7.25,8.06,0,0,24.17,0,0,0.81,0,256.2,0,0,8.86,1.61
 48-58,0.57,0,0,18.94,2.3,0,477.41,0.57,0,30.41,0.57,0,2.87,1.72,0,4.02,2.3,0.57,0,149.76,1.15,8.61,31.56,561.18,1.15,2.87,4.02,0,0,10.33,0,0,0.57,0,103.28,0,0,12.05,2.3
 60-70,0,0,0,20.61,1.96,0,398.5,0.98,0,47.11,1.96,0,0,0.98,0.98,0.98,2.94,0,0,111.89,0,11.78,32.39,288.57,1.96,1.96,1.96,0,0.98,2.94,0,0,0,0,18.65,0,0.98,6.87,1.96
 72-82,0,0,0,21.6,0.98,0,135.47,0,0.98,44.17,3.93,0,0,8.83,0.98,1.96,0,0,0.98,122.71,0.98,9.82,12.76,200.26,0.98,4.91,3.93,0,0.98,5.89,0,0,0,0,7.85,0,0.98,9.82,0
 84-94,0,0,0,19.12,5.31,0,122.13,1.06,1.06,23.36,5.31,0,3.19,10.62,2.12,4.25,1.06,3.19,0,96.65,1.06,12.74,18.05,154,1.06,3.19,4.25,0,0,9.56,0,0,3.19,0,3.19,3.19,1.06,11.68,1.06
 96-106,0,0,0,8.74,0,1.09,75.41,0,0,33.88,3.28,0,2.19,10.93,2.19,0,2.19,1.09,0,53.55,0,5.46,13.11,131.14,0,3.28,1.09,0,0,7.65,0,0,0,0,2.19,1.09,0,14.21,1.09
108-118,0,0,0,8.43,3.83,0,70.47,1.53,2.3,22.98,5.36,0,1.53,8.43,0.77,3.06,3.06,1.53,0,38.3,0,3.06,10.72,157.02,1.53,5.36,6.13,0,0,3.83,0.77,0,0.77,0,1.53,0,1.53,10.72,0
120,0,0,0,11.76,9.8,0,62.71,0,1.96,25.48,0,0,0,7.84,0,0,0,0,0,43.12,0,0,9.8,145.02,0,0,5.88,0,0,3.92,0,0,0,0,3.92,0,0,13.72,0
