stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0.82,6.57,0,0.82,0,8.21,0,0,0,4.1,0,0,0,0,0,0,0,2.46,0,0,0,3.28,0,2.46,0,4.1,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,8.06,1.61,0.81,0,2.42,0,0,0,0.81,0,0,1.61,5.64,0.81,0.81,3.22,2.42,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,8.03,0,5.74,0,0.57,0,2.3,0,0,0,1.15,0,0,0.57,6.31,0,0,2.87,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,13.74,0,3.93,6.87,0,0,11.78,0,0,0.98,8.83,0,0,1.96,6.87,0,0,4.91,0.98,0,0.98,0.98,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,14.72,0,3.93,6.87,0,0.98,15.71,0,0,0.98,18.65,0,2.94,2.94,6.87,0,0,10.8,1.96,0,0.98,0.98,5.89,0.98,0,2.94,0
 84-94,0,0,1.06,0,0,29.74,2.12,8.5,6.37,1.06,0,14.87,0,0,0,11.68,0,2.12,2.12,6.37,0,0,5.31,3.19,1.06,0,1.06,4.25,1.06,1.06,5.31,0
 96-106,0,0,2.19,1.09,1.09,16.39,1.09,1.09,6.56,1.09,0,18.58,0,1.09,0,16.39,0,3.28,2.19,10.93,0,0,10.93,0,0,0,1.09,0,2.19,0,3.28,0
108-118,0,0,1.53,0.77,0,29.87,0.77,2.3,5.36,0,0,17.62,1.53,0,2.3,13.79,0,0.77,3.06,6.13,0,0,13.79,1.53,0,1.53,0,2.3,0,0.77,3.06,0
120,0,0,0,1.96,0,15.68,0,3.92,1.96,0,0,15.68,0,0,1.96,11.76,1.96,0,5.88,9.8,0,0,17.64,1.96,0,0,0,0,1.96,1.96,19.6,1.96
