stage,blastomeres,endoderm,erythrocytes,eye,glial,immune,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,3
 24-34,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,8.06,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0.57,4.02,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,0,0,0,1.96,0,1.96,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,0,0,3.19,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,2.3,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0
