stage,blastomeres,epidermis,eye,glial,hatching_gland,immune,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,38.58,0.82,0,0,0,0,0.82,4.1,0,0,0,0.82
 36-46,0,0,33.03,0,0,0,0,0,0,5.64,0,0.81,0,1.61
 48-58,0,0,53.94,0,0,0,0,0.57,0,5.16,0,0,0,1.15
 60-70,0,0,110.91,0,0.98,0,0,2.94,0,8.83,0,0,0.98,0
 72-82,0,0,107.98,0.98,0,0,0,3.93,0,5.89,0,0,0,1.96
 84-94,0,1.06,122.13,0,0,0,0,2.12,0,6.37,0,0,0,1.06
 96-106,0,1.09,84.15,0,0,1.09,0,1.09,0,6.56,0,0,0,0
108-118,0,0,89.62,0.77,0,0,0.77,1.53,0,3.83,0,0,0,0
120,0,0,105.83,1.96,0,0,0,1.96,1.96,7.84,0,0,0,0
