stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0
 24-34,0,0,0,114.1,0,0,0,0.82,0,0,0,0.82,3.28,0,0,0,0,0,0,44.33,0.82,0.82,0,0.82,0,4.1,0,0,0,1.64
 36-46,0,0,0,437.48,0,0,0,2.42,0,0,0,0.81,0.81,0,0.81,0,1.61,0,0,39.48,0,0,0,0,0,5.64,0,0,0,1.61
 48-58,0,2.3,0,723.57,0,0.57,0.57,6.31,0,0,0,0,4.59,0,0,0,2.87,0,1.15,56.23,0,0,0,0.57,0,2.87,0,0,0,2.3
 60-70,0,0.98,0.98,1222.98,0.98,0.98,0,18.65,0,0.98,0,0,3.93,0,0,0.98,2.94,0,0,45.15,0,0.98,0,0.98,0,0.98,0,0,0,0
 72-82,0,3.93,0.98,740.17,0.98,0,0,26.5,0.98,0,0,0,6.87,0,0,0,6.87,0,0.98,28.47,0.98,0,0,0,0,0.98,0,0,0.98,1.96
 84-94,0,5.31,1.06,610.67,0,0,0,25.49,0,0,0,0,8.5,1.06,0,0,4.25,2.12,0,24.43,0,0,0,0,1.06,0,0,0,0,1.06
 96-106,1.09,1.09,0,344.25,0,0,0,24.04,0,1.09,0,0,4.37,0,0,0,2.19,1.09,1.09,20.76,2.19,1.09,0,1.09,0,0,1.09,2.19,0,1.09
108-118,0,3.06,0,222.9,0,0,0,10.72,0,0,0.77,0.77,11.49,0,0.77,0,3.06,0,0,15.32,0,0,0,0.77,0,0,0,0,0,0
120,0,5.88,0,176.38,0,0,0,17.64,0,0,0,0,1.96,0,0,0,3.92,0,0,15.68,1.96,0,0,0,0,0,0,0,0,0
