stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,70.98,5.26,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,3.15,0,0,25.18,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,267,0,14,0,1,1,0,3,0,0,0,161,0,0,0,0,0
 24-34,0,0,2.46,0,4.1,0.82,33.66,0,0,0,2.46,0,0,0,0,0,0,0.82,0.82,0,4.1,0,0,1.64,1527.61,0,58.28,0.82,0,5.75,0,0,0,0,1.64,353.79,0,0,1.64,0,0
 36-46,0,0,0.81,0,3.22,0.81,238.48,0,0,0.81,23.36,0,0,0.81,0.81,0,0,0,0,0.81,10.47,0,0,0.81,3361.25,0,62.04,0.81,0,4.03,0.81,0,0.81,0.81,0,603.45,0,0,2.42,0,0
 48-58,0,0,0.57,0,9.18,0,852.67,0.57,2.3,0.57,80.91,0.57,0,0.57,1.15,0,1.72,0.57,1.15,0,23.53,0,0.57,7.46,4179.59,1.15,32.71,0.57,0,2.87,0,0,0.57,0,0,652.99,0,0,1.15,0,1.15
 60-70,0,0,0,0,4.91,0,1197.46,0.98,2.94,0,59.87,0,0,0,0.98,0,0.98,0,0.98,0,21.59,0.98,0.98,2.94,4138.1,0,36.32,0,0,2.94,0,0,0,0,0,463.28,0,0.98,1.96,0.98,1.96
 72-82,0,0,3.93,0,18.65,4.91,998.35,0,0,1.96,73.62,2.94,0,1.96,1.96,0,1.96,1.96,0.98,0.98,48.1,0,4.91,1.96,2861.54,0,43.19,1.96,0,3.93,0,0,0.98,0,0,232.65,0,0,2.94,4.91,4.91
 84-94,0,0,6.37,0,16.99,2.12,528.89,0,1.06,1.06,67.97,2.12,0,2.12,1.06,0,2.12,0,0,0,26.55,0,4.25,6.37,1252.14,0,27.61,1.06,0,4.25,0,0,0,0,0,100.89,2.12,1.06,3.19,3.19,0
 96-106,0,0,1.09,0,14.21,2.19,377.03,1.09,0,1.09,54.64,5.46,0,2.19,0,0,0,0,2.19,0,26.23,1.09,0,1.09,921.27,0,45.9,4.37,0,7.65,1.09,0,0,0,0,36.06,0,0,0,0,1.09
108-118,0,0,1.53,0,18.38,2.3,297.96,0.77,0.77,0.77,28.34,2.3,0,0,1.53,0,0.77,0,0.77,0,19.92,0,0.77,2.3,1186.48,0,36,2.3,0,1.53,0,0,0,0,0,26.81,0.77,0.77,1.53,0,1.53
120,0,0,0,0,19.6,3.92,329.24,1.96,5.88,1.96,48.99,1.96,0,0,3.92,1.96,0,1.96,0,0,21.56,0,1.96,3.92,1483.56,0,33.32,1.96,0,5.88,0,0,0,1.96,0,25.48,0,0,3.92,0,0
