stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,1,2,0,12,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,0.82,0,1.64,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,1.64,201.93,0,0.82,0,0,1.64,0,0,0,0,0.82,41.04,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,1.61,1.61,0.81,18.53,0,0,0,1.61,0,0,0,0,0,2.42,0,0,0,235.26,0.81,0,1.61,0,0.81,0,0,0,0,0,63.65,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,5.74,0.57,0,36.72,0,0,0,1.15,0,0,0,0,0,2.87,0.57,0,0.57,102.14,0,0,1.15,0,1.72,0,0,0.57,0,0,44.18,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,5.89,1.96,1.96,57.91,0,0,0,1.96,0,0,0,0,0,8.83,0,2.94,0.98,79.5,0,0,0,0,2.94,0,0,0,0,0,27.48,0,4.91,0,2.94,0
 72-82,0,0,0,1.96,0.98,0,33.38,0,0,54.97,0,0,0,2.94,0,0,0,0,0,19.63,0,3.93,0.98,99.15,0,0.98,0.98,0.98,5.89,0,0,0,0,0,7.85,0,7.85,0.98,19.63,0
 84-94,0,0,0,2.12,0,0,30.8,0,1.06,37.17,0,0,0,9.56,0,1.06,0,0,0,7.43,2.12,4.25,1.06,64.78,0,0,1.06,1.06,15.93,0,0,1.06,1.06,0,8.5,1.06,11.68,1.06,23.36,0
 96-106,0,0,0,4.37,3.28,0,38.25,0,2.19,37.16,0,0,0,14.21,1.09,0,2.19,1.09,0,20.76,1.09,3.28,4.37,98.36,1.09,1.09,1.09,1.09,12.02,0,0,0,0,0,8.74,0,7.65,1.09,24.04,0
108-118,0,0,0,7.66,0.77,0.77,78.13,0.77,3.06,49.02,0,0,0,13.02,1.53,0,1.53,0,1.53,18.38,3.83,3.06,3.06,106.47,1.53,0.77,1.53,3.83,16.85,0,0,0.77,0.77,0,1.53,0,5.36,0.77,10.72,1.53
120,0,0,0,7.84,0,0,76.43,1.96,0,54.87,3.92,0,1.96,7.84,0,0,0,0,0,11.76,0,1.96,7.84,141.1,0,0,3.92,1.96,25.48,0,1.96,3.92,0,0,7.84,0,11.76,3.92,9.8,0
