stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,147.21,0,0,0,2.63,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,78.86,0,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,110.14,0,3.15,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,182.52,9.44,0,0,56.65,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,41,0,0,2,0,0,0,0,1,2,4,2,0,0,0,47,0,14,0,0,6,20,3,0,0,0,0,0,0,2,1,4,0,0,0,0,0
 24-34,0,0,0.82,6.57,8.21,0.82,0,9.03,0,0,0,1.64,0.82,0.82,8.21,16.42,0,0,0,68.95,0,23.8,0.82,0,4.93,77.16,4.1,1.64,0,0,0,0.82,0,0,1.64,31.19,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,9.67,0,0,0,4.03,0,0,4.83,4.03,0,0,0,42.7,0.81,6.45,0,0,0.81,54.79,0,0.81,1.61,0,0.81,0.81,0,0,0,10.47,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,18.36,0,0.57,0,1.15,1.72,0,1.15,1.15,0.57,0.57,0.57,61.4,1.15,15.49,0,0,1.15,44.76,0,0,0,0,0,4.02,0,0,0,9.18,0,0,1.15,0,0
 60-70,0,0,0,0.98,6.87,0,0.98,37.3,0.98,0,1.96,6.87,11.78,0,1.96,1.96,0,1.96,0,92.26,0.98,37.3,0,2.94,0.98,90.3,0,0.98,0,0,0,15.7,0,0,0,15.7,0,2.94,3.93,0,0.98
 72-82,0,0,0,1.96,19.63,18.65,0.98,140.38,0.98,1.96,7.85,47.12,30.43,0,3.93,3.93,2.94,1.96,2.94,198.3,0,113.87,1.96,8.83,13.74,304.32,1.96,3.93,6.87,0,2.94,70.68,0.98,0,0,15.71,2.94,3.93,17.67,2.94,6.87
 84-94,0,0,5.31,3.19,48.85,41.42,4.25,156.12,7.43,8.5,5.31,43.54,67.97,1.06,6.37,15.93,5.31,5.31,7.43,554.38,3.19,129.57,2.12,9.56,15.93,343.04,1.06,6.37,5.31,0,3.19,209.22,0,1.06,0,15.93,6.37,11.68,13.81,5.31,8.5
 96-106,0,0,5.46,0,136.61,125.68,18.58,370.48,9.84,21.86,15.3,145.35,96.17,1.09,15.3,53.55,24.04,13.11,14.21,860.07,7.65,370.48,15.3,16.39,46.99,815.26,8.74,21.86,27.32,1.09,6.56,386.87,3.28,5.46,0,24.04,10.93,21.86,64.48,20.76,14.21
108-118,0,0,3.06,0.77,150.13,61.28,43.66,372.26,3.83,40.6,19.92,124.85,81.96,0,13.02,39.06,17.62,21.45,5.36,1590.14,6.89,373.02,6.13,25.28,47.49,942.13,13.02,20.68,22.21,0,10.72,318.64,7.66,8.43,0,35.23,11.49,11.49,42.89,13.02,25.28
120,0,0,7.84,0,76.43,50.95,5.88,207.74,9.8,21.56,13.72,80.35,39.2,0,13.72,47.03,3.92,0,9.8,897.58,0,239.09,1.96,23.52,31.36,513.46,7.84,19.6,9.8,0,9.8,143.06,1.96,0,0,9.8,0,13.72,15.68,3.92,9.8
