stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,94.41,3.15,0,0,28.32,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,63,6,0,9,0,5,0,2,1,3,2,0,0,0,1,1,2,28,0,0,18,102,7,1,1,4,0,5,0,21,2,1,21,25,0,2,0,0
 24-34,0,0,0,1.64,59.1,0.82,0,15.6,0,9.03,1.64,2.46,0,0,3.28,0,0,0,2.46,4.1,0,59.92,0.82,0.82,22.98,68.95,4.1,0,3.28,0,0,11.49,0,0,0.82,0,5.75,19.7,0,5.75,0,0.82
 36-46,0,0,0,0,49.15,0.81,0,16.92,0,8.06,5.64,8.06,0.81,0,6.45,0,0,0,0.81,1.61,1.61,127.3,3.22,4.03,49.95,76.54,8.86,2.42,8.86,0,0.81,6.45,0.81,0,1.61,0,0.81,20.14,0,13.7,0,2.42
 48-58,0,0,0,0,36.72,0,0,12.05,0.57,12.62,16.07,8.61,0.57,1.15,1.72,0,1.15,0,1.72,2.87,2.3,167.55,3.44,4.59,33.85,35,5.74,0.57,10.9,0,1.72,12.05,0,0,0.57,0,0,8.03,1.72,9.75,0,0.57
 60-70,0,0,0,0,48.09,0,0,7.85,0,4.91,9.82,7.85,0,0,6.87,1.96,0.98,0,0.98,3.93,6.87,272.86,2.94,8.83,29.45,18.65,6.87,0.98,11.78,0,6.87,8.83,0,0,0.98,0,0,4.91,7.85,8.83,0.98,2.94
 72-82,0,0,0.98,0,65.77,0.98,0,30.43,1.96,22.58,29.45,20.61,0.98,1.96,6.87,1.96,2.94,2.94,5.89,9.82,1.96,455.49,5.89,11.78,50.06,26.5,7.85,1.96,27.49,0,10.8,5.89,0,0,0,0,0,5.89,10.8,18.65,10.8,6.87
 84-94,0,0,0,0,122.13,0,0,28.68,0,47.79,32.92,25.49,5.31,5.31,8.5,7.43,2.12,3.19,1.06,37.17,7.43,380.21,3.19,24.43,26.55,29.74,12.74,5.31,38.23,0,5.31,30.8,0,0,2.12,0,0,5.31,9.56,9.56,10.62,5.31
 96-106,0,0,2.19,0,103.82,4.37,2.19,21.86,0,28.41,15.3,21.86,8.74,0,6.56,4.37,1.09,2.19,3.28,49.18,2.19,409.82,6.56,20.76,24.04,52.46,24.04,6.56,50.27,0,6.56,30.6,0,0,0,0,0,1.09,9.84,26.23,16.39,1.09
108-118,0,0,2.3,0,121.02,3.06,0.77,20.68,1.53,43.66,23.74,26.81,10.72,0,6.13,6.13,3.83,6.13,9.19,113.36,9.19,409.79,2.3,18.38,26.81,51.32,21.45,6.89,49.02,0,11.49,18.38,0,0,3.06,0,0,3.83,5.36,19.92,11.49,8.43
120,1.96,0,0,0,190.1,5.88,1.96,23.52,0,45.08,29.4,23.52,15.68,0,5.88,5.88,1.96,1.96,11.76,129.35,3.92,390,1.96,25.48,43.12,52.91,52.91,11.76,64.67,0,9.8,25.48,0,0,1.96,0,0,3.92,9.8,13.72,13.72,3.92
