stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,2.46,1.64,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0.81,3.22,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0,0,0,0,0.57,0.57,0,9.75,0,0,1.15,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,8.83,0,0,1.96,2.94,0,0,0,0
 72-82,0,0,0.98,2.94,0,0,1.96,0,0,0,0,0.98,0,2.94,0,0,17.67,0.98,0,0,0.98,0,0.98,0,0
 84-94,0,1.06,4.25,5.31,0,0,0,0,0,0,0,0,0,0,0,1.06,13.81,0,0,3.19,0,0,0,0,0
 96-106,0,1.09,1.09,3.28,1.09,0,3.28,0,0,0,0,0,0,2.19,0,0,3.28,0,0,4.37,0,1.09,0,0,0
108-118,0,0,0.77,4.6,0,0.77,0,0.77,0,0,0,0,0,1.53,0,0,3.06,0,0,0.77,0,0,0,1.53,0.77
120,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,11.76,0,0,7.84,0,0,0,0,0
