stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,31.54,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,107,3.15,0,0,18.88,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,18,0,1,0,0,0,14,2,0,4,3,0,0,0,0,0
 24-34,0,0,0,8.21,0,0,9.03,0,0,0,0,0,0,0,0,3.28,0,1.64,0,0,6.57,0.82,0,2.46,33.66,1.64,0.82,6.57,0,0,14.78,0,0,0,11.49,0,0,1.64,0,0
 36-46,0,0,0,4.83,0,0,20.95,0,0.81,0.81,1.61,0,0,0,0,0.81,0,0,0,0,4.03,1.61,0,0.81,28.2,0.81,1.61,3.22,0,0,7.25,0,0,0,12.09,0,0,0,0,0
 48-58,0,0,0.57,2.87,0,0,25.82,0,0,0.57,1.72,0.57,0,0.57,0.57,1.15,0.57,5.74,0,0.57,7.46,0,0.57,2.3,30.41,0,0.57,11.48,0,0,4.02,0,0.57,0,11.48,0,0,0.57,0,0.57
 60-70,0,0,0.98,5.89,0,0,55.95,0,0,0,7.85,16.69,0,0,0,0,0,16.69,0,0,10.8,0,0,0.98,74.6,0,2.94,22.58,0,0,2.94,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,150.19,0,0,1.96,13.74,37.3,0,0,0.98,0.98,0,25.52,0,0,16.69,0.98,0.98,2.94,120.74,0.98,2.94,48.1,0,0,1.96,0,0,0,5.89,0.98,0,0,0,0.98
 84-94,0,0,0,8.5,0,0,74.34,0,1.06,0,9.56,80.71,0,0,0,0,1.06,44.61,0,1.06,6.37,1.06,0,3.19,57.35,0,0,55.23,0,0,5.31,0,1.06,0,2.12,0,1.06,0,0,0
 96-106,0,0,0,8.74,2.19,1.09,144.26,0,1.09,1.09,12.02,63.39,0,3.28,1.09,0,0,75.41,2.19,0,10.93,0,1.09,1.09,57.92,0,3.28,66.66,0,0,7.65,0,0,0,1.09,0,0,2.19,1.09,1.09
108-118,0,0,0,8.43,0.77,0,103.41,0.77,0,1.53,13.02,52.85,0,0,0.77,0.77,0.77,45.96,1.53,0,5.36,0,0.77,2.3,49.79,0,2.3,56.68,0,0.77,3.83,0,0,0,0.77,0.77,0,0,0,0
120,0,0,0,7.84,0,0,74.47,0,3.92,0,0,21.56,0,0,1.96,1.96,0,35.28,1.96,0,3.92,1.96,1.96,7.84,80.35,1.96,1.96,68.59,0,0,0,0,0,0,1.96,0,0,0,1.96,1.96
