stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0
  5-6,18.39,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,118.29,2.63,0,0,26.29,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,84.97,3.15,0,0,31.47,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,2,1,3,0,0
 24-34,0,0,0,0.82,0,0,3.28,0.82,0,0,0,0,0,0,0.82,2.46,0.82,0,0,16.42,0,0,0,0,0,11.49,0,0,5.75,0,0
 36-46,0,0,0,0,0,0,5.64,0,0.81,0,0,0,0.81,0,0.81,2.42,0,0,0.81,12.09,0,0.81,0,0,0,39.48,0,0,6.45,0,0
 48-58,0,0,0,0,0,0,2.87,0,1.15,0,0,0,0,0,4.02,1.72,0,0,0.57,6.89,0,0,0.57,0,0,17.21,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.93,0,0.98,0.98,0,0.98,0,0,0,0.98,0,0,0,8.83,0,0,0,0,0,2.94,0,0,0.98,0,0.98
 72-82,0,0,0,0.98,0,0,1.96,0,3.93,0.98,0,0.98,0,0,0,3.93,0,0,0,6.87,0,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,1.06,0,1.06,0,0,2.12,3.19,0,0,0,1.06,0,1.06,1.06,0,0,2.12,0,0,0,1.06,2.12
 96-106,0,0,0,1.09,0,0,2.19,0,5.46,0,0,0,0,0,0,1.09,0,1.09,0,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,1.53,0,2.3,0.77,0,2.3,0,0,0,0.77,0,1.53,0.77,0,0,0,0,0,0,0.77,0,0.77,3.06,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,3.92,0,0,3.92,0,0,0,0,0
