stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,72,1,0,115,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,3,1,0,2,0,0,0
 24-34,0,36.94,0,0,161.71,3.28,0,0,0,0,0,0.82,0,0,0.82,0.82,10.67,0,0,0,13.13,0,0.82,0,0,0.82,0
 36-46,0,15.31,0,0,87.01,0.81,0,0,0,0,0,0,0,2.42,0.81,0.81,7.25,0.81,0.81,0,14.5,0,0,1.61,0,0.81,0
 48-58,0,8.61,0,0,63.12,2.87,0,0,0,0,0,0,0.57,0.57,0,0.57,4.02,0,0,0,6.31,0,0,0,0,0,0
 60-70,0,17.67,0,0,47.11,3.93,0.98,0.98,0,0,0,0,0,2.94,0,0,5.89,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,9.82,0,0,55.95,1.96,0,0.98,0.98,0,0,0,0,0.98,0,0,2.94,0.98,0.98,0,4.91,0,0,0,0,0,0
 84-94,0,25.49,2.12,0,80.71,3.19,2.12,1.06,0,1.06,0,0,0,4.25,0,1.06,3.19,0,0,0,7.43,0,0,0,0,0,0
 96-106,0,16.39,0,1.09,78.68,1.09,0,1.09,0,0,0,0,0,3.28,0,0,2.19,0,1.09,0,13.11,0,0,1.09,1.09,0,0
108-118,0,23.74,0.77,0,84.26,2.3,0.77,0,0,0.77,0,0.77,0,2.3,0,0.77,3.83,0,0.77,0,31.4,0,0,0,0,0,0.77
120,0,31.36,0,0,80.35,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,0,23.52,0,0,0,0,0,0
