stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,478.11,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,10.51,0,0,28.92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,307.56,10.51,0,0,107.78,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,25.18,0,9.44,50.35,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,333.58,3.15,0,0,110.14,0,3.15,6.29,0,22.03,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,2,28,5,15,0,0,0,5,2,1,0,0,2,0,0,1,1,17,0,0,13,311,2,3,3,3,0,7,0,32,1,1,17,103,0,0,4,0,0
 24-34,0,0,1.64,1.64,11.49,1.64,61.56,0,0.82,0,6.57,0.82,0,0,0.82,0.82,0,0.82,0,0,61.56,0,0,20.52,689.52,1.64,4.93,8.21,0,0,5.75,0,0,0,0.82,2.46,173.2,0,0,8.21,0,0.82
 36-46,0,0,0,0,8.06,0,129.71,0.81,0,3.22,19.34,0.81,0,1.61,0,1.61,0.81,0.81,0,0.81,62.04,0,2.42,15.31,563.97,2.42,3.22,2.42,0,0,7.25,0,0,0,0,0,134.55,0,0,2.42,0,0
 48-58,0,0,0,0,3.44,0,119.35,0,1.15,0.57,24.1,0,0,0,0.57,0,1.15,1.72,0,0.57,61.97,0,0.57,10.9,306.41,1.15,1.15,2.3,0,0,4.59,0,0,0,0,0,65.41,0,0,2.87,0.57,0
 60-70,0,0,0,0,4.91,0.98,157.04,0,0.98,2.94,31.41,0,0,0,1.96,0.98,0,0.98,0,0,57.91,0.98,1.96,3.93,268.94,0.98,2.94,2.94,0,0.98,8.83,0,0,1.96,0,0,25.52,0,0,5.89,0,0.98
 72-82,0,0,0,0,1.96,1.96,119.76,0,0,3.93,19.63,0.98,0,0,0,0.98,0.98,0.98,0.98,0,78.53,0.98,0.98,5.89,196.33,0,2.94,4.91,0,0,4.91,0,0,0.98,0,0,19.63,0,0.98,3.93,2.94,0.98
 84-94,0,0,0,0,11.68,1.06,62.66,1.06,0,5.31,18.05,2.12,0,0,4.25,1.06,1.06,0,0,0,78.59,0,5.31,5.31,122.13,1.06,2.12,8.5,0,0,18.05,0,0,1.06,0,0,12.74,0,2.12,8.5,0,0
 96-106,0,0,1.09,0,4.37,2.19,56.83,0,2.19,3.28,17.49,3.28,0,3.28,4.37,1.09,0,0,4.37,0,30.6,0,2.19,7.65,102.73,2.19,3.28,3.28,0,0,13.11,0,0,0,0,0,0,0,1.09,7.65,1.09,0
108-118,0,0,0,0.77,19.15,0,37.53,0,2.3,3.06,13.79,3.06,0,0.77,1.53,1.53,0.77,2.3,0,0.77,33.7,0,3.83,10.72,101.87,0,2.3,3.83,0,0.77,4.6,0,0,0,0,0,3.06,0.77,0.77,4.6,0,0
120,1.96,0,0,0,3.92,0,43.12,0,0,1.96,13.72,0,0,1.96,1.96,0,1.96,0,0,0,21.56,0,1.96,1.96,86.23,3.92,1.96,0,0,0,5.88,0,0,0,0,0,1.96,0,0,3.92,0,0
