stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,iridophores,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,61.84,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0.98,0,303.33,0.98,0.98,0,0.98,0,1.96,0.98,0,0,0,0.98
 84-94,1.06,0,303.74,0,0,1.06,0,1.06,1.06,0,0,1.06,1.06,0
 96-106,0,0,156.28,0,0,0,0,0,5.46,1.09,0,1.09,0,0
108-118,0,0.77,86.55,0,0.77,0,0.77,0.77,3.83,0,0,0,0,0
120,1.96,0,48.99,0,0,0,0,0,1.96,0,0,0,0,0
