stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,8,6,1,0,0,0,1,3,4,0,0,0,0,0,0,4,0,0,5,88,21,0,0,13,0,0,60,0,1,12,20,0,1,0,0
 24-34,0,0,2.46,0,17.24,0,0,0,4.93,0,0,0,0,0,0,0,0,1.64,0,0.82,2.46,193.72,0.82,0.82,1.64,0,0,0.82,0,0,0,2.46,37.76,0,0.82,0,0
 36-46,0,0.81,0,0,47.53,0,0,0,3.22,0,0,0,0,0,0,0,0,5.64,0,0,0.81,194.17,0,3.22,0.81,0,0,2.42,0,0,0,0.81,48.34,0,0,0,0
 48-58,0,0,1.15,0,177.88,0.57,0,0,7.46,0,0,0,0,0,0.57,0,0,7.46,0,0.57,0,47.63,0,0,0.57,0,0,0.57,0,0,0,0,18.94,0,0.57,0,0
 60-70,0,0,1.96,0,456.41,0,1.96,0,0.98,0.98,0,0,0,0,0.98,0,0,12.76,0,0.98,0,47.11,0,0.98,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,3.93,721.52,0,0,0.98,7.85,0,0,0,0,0,0,1.96,0,15.71,0,0,0.98,37.3,0.98,0,0.98,0,0,0.98,0,0,0,0,2.94,0,0,0.98,0
 84-94,0,0,0,0,668.02,0,0,1.06,3.19,1.06,0,0,1.06,0,0,0,0,9.56,0,3.19,1.06,11.68,2.12,0,0,0,1.06,2.12,0,1.06,0,0,0,1.06,1.06,2.12,0
 96-106,1.09,0,2.19,4.37,445.88,0,0,0,3.28,0,0,0,0,0,2.19,0,2.19,5.46,0,0,2.19,13.11,0,0,0,0,0,2.19,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0.77,0,2.3,1.53,301.79,0,0,0,0.77,0,0,0.77,0,0,0.77,0,0.77,4.6,0,0,0.77,18.38,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,3.92,0,217.54,1.96,0,0,3.92,0,0,0,1.96,1.96,1.96,0,0,3.92,3.92,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
