stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,28.32,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.68,9.44,0,0,75.53,0,18.88,12.59,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,4,1312,20,0,4,0,1,0,20,41,0,0,9,0,0,11,3,0,6,44,22,0,2,6,0,395,2,45,6,1,33,117,0,0,1,0,0
 24-34,0,0,1.64,455.58,0,0,8.21,0,9.03,0.82,18.06,3.28,0.82,3.28,2.46,6.57,0,7.39,6.57,0,9.85,58.28,7.39,1.64,3.28,0,0,108.35,0,0,6.57,0,4.1,87.01,0,0,1.64,0,0
 36-46,0.81,0,0,171.61,0,0,3.22,0,9.67,0.81,7.25,0.81,2.42,8.86,0,4.03,0,21.75,0.81,0.81,14.5,34.64,5.64,0.81,1.61,0,0,64.45,1.61,0,9.67,0,0,41.89,0,0,0.81,0,0
 48-58,0,0,0,79.19,0.57,0,10.33,0,13.2,2.3,17.79,0,1.72,5.74,0,6.31,0,68.28,0.57,2.87,30.41,22.38,6.31,0,2.87,0,2.3,17.21,0,0,2.3,0,0,16.64,0,0,1.15,0,0
 60-70,0,0,0,74.6,3.93,0,7.85,0,15.7,0,56.93,0,0,3.93,0,6.87,0.98,141.34,0,7.85,22.58,17.67,21.59,0,2.94,0,1.96,7.85,0,0,0.98,0,0,10.8,0.98,1.96,0.98,0.98,0
 72-82,0,0,0,44.17,6.87,0,18.65,0,5.89,6.87,122.71,1.96,3.93,21.6,0.98,11.78,0.98,238.54,1.96,5.89,24.54,30.43,23.56,0,16.69,0,2.94,5.89,0,0,0.98,0,0,5.89,0.98,5.89,2.94,12.76,0.98
 84-94,0,0,0,104.08,9.56,0,16.99,0,21.24,1.06,66.91,4.25,4.25,15.93,1.06,6.37,0,145.5,1.06,9.56,15.93,15.93,33.99,2.12,15.93,0,1.06,28.68,0,0,10.62,0,0,8.5,0,7.43,1.06,7.43,0
 96-106,0,0,0,143.16,12.02,1.09,16.39,3.28,21.86,2.19,83.06,3.28,4.37,21.86,1.09,13.11,1.09,204.36,2.19,5.46,18.58,39.34,40.44,1.09,25.14,0,3.28,9.84,0,0,7.65,0,0,8.74,1.09,7.65,2.19,16.39,0
108-118,0,0,0,114.13,19.15,0,12.26,0,19.15,6.13,63.57,2.3,6.13,16.09,1.53,6.89,0.77,165.45,0.77,4.6,13.79,29.87,49.79,1.53,18.38,0,1.53,2.3,0,0,6.13,0,0,5.36,1.53,6.13,3.83,9.96,0
120,1.96,0,0,125.43,31.36,0,13.72,0,17.64,1.96,50.95,1.96,3.92,11.76,1.96,7.84,0,92.11,1.96,1.96,9.8,19.6,29.4,0,17.64,0,0,0,0,0,3.92,0,0,1.96,0,15.68,5.88,19.6,0
