stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,2.63,5.26,21.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,3,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,3.28,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,3.22,0
 48-58,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
