stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,3,7,31,0,0,0,0,0,1,1,0,0,4,6,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,0,0,1.64,9.85,0,0,0.82,0,0,0,0,0,83.73,0,0,10.67,16.42,18.06,0.82,0,0,0,0,0,0,0,0,10.67,9.03,0,0,0,0
 36-46,0,0,0,0.81,1.61,0,1.61,0,0.81,20.95,0,0.81,1.61,0,0,0,0,0,137.77,0,0.81,14.5,14.5,8.06,0,0,0,0,0,0.81,0.81,0,0,0,4.83,0,0.81,0.81,0
 48-58,0,0,0,2.3,0,0,5.74,0,0,35,0.57,0,4.59,0,0,0,0,0.57,300.67,0,1.72,23.53,17.79,1.72,0,0.57,0,1.15,0,0,0,0,1.15,0,7.46,0,2.87,0,0
 60-70,0,0,0,1.96,0,0,4.91,0,1.96,24.54,0,0,6.87,0,0,0,0,0,506.47,0.98,8.83,17.67,19.63,0,0,0,0,3.93,0.98,0,0,0,0,0,5.89,0,26.5,0,0.98
 72-82,0,0,0,9.82,0.98,0,39.27,0.98,0.98,51.05,6.87,0,9.82,0,0.98,0,0,0,929.63,0,15.71,40.25,35.34,2.94,0.98,1.96,0,3.93,0.98,0,0,0,0,0,5.89,0.98,52.03,0,21.6
 84-94,0,0,1.06,21.24,1.06,0,41.42,0,2.12,31.86,3.19,0,8.5,0,1.06,0,0,0,610.67,0,19.12,29.74,11.68,0,0,0,0,2.12,2.12,0,0,0,0,0,4.25,0,45.67,0,12.74
 96-106,0,0,0,28.41,3.28,0,33.88,1.09,2.19,25.14,10.93,2.19,9.84,2.19,1.09,2.19,0,2.19,652.43,0,17.49,32.79,36.06,0,0,0,0,7.65,2.19,0,0,0,0,0,6.56,0,57.92,2.19,22.95
108-118,0.77,0,1.53,24.51,0,1.53,11.49,1.53,3.83,24.51,6.13,6.13,3.83,0.77,6.13,0.77,0,1.53,570.64,0,10.72,24.51,35.23,1.53,0,0.77,0,9.19,0,0,0,0.77,0,0,5.36,0.77,42.13,2.3,17.62
120,0,0,1.96,11.76,1.96,0,13.72,0,0,13.72,1.96,0,3.92,0,1.96,1.96,1.96,1.96,368.44,1.96,11.76,21.56,21.56,0,0,0,0,5.88,1.96,0,0,0,0,0,3.92,0,58.79,0,7.84
