stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0
  7-9,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,55.2,0,0,7.89,65.72,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,18.88,0,0,22.03,34.62,0,0,0,0,0,0
 14-21,1,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,1,272,1,1,0,0,0,0
 24-34,0,0,8.21,0,1.64,0,0,0.82,0,0,0,0,4.93,0,0,0,0,0.82,9.85,0,0,18.06,1.64,0,0,0,291.4,0,1.64,0,0.82,0,0
 36-46,0,0,8.06,0,1.61,0.81,0,0,0,0,0.81,0,1.61,0,0,0,1.61,1.61,6.45,0,0,23.36,0.81,0.81,0,0,266.68,0,3.22,0,0,0,0
 48-58,0,0,4.59,0,2.87,0,0,0.57,0,0,0,0,1.72,0,0,0,0,1.72,5.16,0,1.15,10.33,0,0.57,0,0,159.52,0,2.3,0,0,0,1.15
 60-70,0,0,9.82,0,2.94,0.98,0,0.98,0.98,0,0,0,2.94,0,0,0,0,0.98,9.82,0,0,10.8,0,0,0,0,132.51,0,0,0,0,0,0
 72-82,0,0,20.61,0,0,0.98,0.98,0.98,2.94,0.98,0,0,1.96,0.98,0,0,0,1.96,9.82,0.98,0,11.78,0,0,0.98,0,221.86,0,0.98,0,0,0,0
 84-94,0,0,40.36,0,4.25,6.37,0,1.06,9.56,0,0,0,4.25,0,1.06,0,0,0,8.5,0,2.12,6.37,0,0,0,0,391.89,0,0,2.12,0,0,0
 96-106,0,0,72.13,2.19,3.28,7.65,0,0,17.49,0,0,0,6.56,0,1.09,0,0,3.28,8.74,0,1.09,10.93,0,0,0,0,261.19,0,0,3.28,0,0,0
108-118,0,0,49.79,0,0.77,4.6,0,0,23.74,0,0,0,9.96,0,0.77,0,0,1.53,7.66,0,0,7.66,0,1.53,0,0,208.34,0,0,3.83,0,0.77,0
120,0,0,35.28,0,1.96,9.8,0,0,11.76,0,0,1.96,1.96,0,1.96,1.96,0,0,3.92,0,0,5.88,0,0,1.96,0,160.7,0,0,1.96,0,0,0
