stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,36.78,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,26.29,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,44.69,5.26,0,0,52.57,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,18.88,0,0,6.29,0,0,0,0
 14-21,0,0,0,2,1,2,1,0,0,38,0,0,0,0,0,0,8,3,19,1,0,5,0,2,1,36,98,0,0,0
 24-34,0,0,0,0.82,1.64,0,0.82,0,1.64,46.79,0,0,0,0,2.46,0.82,5.75,1.64,17.24,0,0.82,5.75,0,18.88,0,17.24,65.67,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,23.36,0,0,0,0,2.42,0,4.83,1.61,25.78,0,4.03,2.42,0,11.28,0,15.31,45.12,0,0,0.81
 48-58,0,0,0,0,1.15,0,2.3,0,0,26.4,0,0,0,0,1.72,1.15,10.33,1.15,30.41,0,5.74,2.87,0,6.31,0,3.44,43.04,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,19.63,0,0,0,0,2.94,0,14.72,2.94,16.69,0,4.91,4.91,0,2.94,0,2.94,27.48,0,0,0
 72-82,0,0,4.91,0,0.98,0,4.91,0,3.93,30.43,1.96,0,0,0.98,8.83,0,17.67,0.98,11.78,0,7.85,11.78,0,0,0,2.94,16.69,0,0.98,0.98
 84-94,0,0,0,1.06,0,0,3.19,1.06,3.19,20.18,0,0,1.06,0,4.25,0,20.18,3.19,10.62,0,18.05,24.43,0,8.5,0,4.25,14.87,0,0,0
 96-106,0,0,2.19,0,1.09,0,4.37,0,0,24.04,0,0,0,0,7.65,0,24.04,2.19,8.74,0,15.3,16.39,0,2.19,0,3.28,15.3,0,0,0
108-118,0,0,3.06,1.53,3.06,0,3.06,0,1.53,19.15,0,0,0,0,7.66,0.77,13.79,3.83,9.19,0,13.02,18.38,0,2.3,0,4.6,6.89,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,3.92,0,0,1.96,0,7.84,0,11.76,0,3.92,0,7.84,13.72,0,0,0,5.88,9.8,1.96,0,0
