stage,axial,blastomeres,epidermis,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,12.59,3.15,6.29,0,0,0
 14-21,0,0,1,0,0,0,0,8,3,2,0,0,9,8,0
 24-34,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,4.03,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0.98,0,2.94,0,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
