stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,22,0,0,0,0,0,1,2,0,1,8,0,0,0,0,0,5,0,0,2,12,2,0,0,0,0,9,3,2,1,4,17,0,0,0,0,0
 24-34,0,0,0,0,1.64,4.93,0,6.57,0,0.82,0,2.46,0.82,0,2.46,9.03,3.28,0.82,1.64,0,0,10.67,4.93,0,1.64,34.48,0,2.46,0.82,0,0,19.7,0,0,0,0,15.6,0,0,4.93,0,0.82
 36-46,0,0,0,0,1.61,0.81,0,5.64,0.81,0,0.81,0.81,0,0,0.81,3.22,1.61,0,2.42,0,0,9.67,0.81,0.81,0.81,39.48,1.61,3.22,1.61,0,0,24.17,0,0,0,0,9.67,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,0,4.02,1.15,0.57,1.72,2.87,0.57,2.3,1.15,3.44,1.72,0,1.72,0,0.57,8.61,6.89,1.15,1.15,20.66,0,4.02,1.15,0,0,10.33,0,0.57,0,0,9.18,0,0,3.44,0,0
 60-70,0,0,0,0,1.96,0,0,9.82,0.98,2.94,0,33.37,0,0,0,8.83,0.98,0,0.98,0,0,12.76,2.94,0,4.91,20.61,0,1.96,1.96,0,0,23.56,0,0,1.96,0,3.93,0,0,7.85,0.98,0.98
 72-82,0,0,2.94,0,3.93,2.94,0,22.58,0.98,0,0.98,62.83,1.96,0.98,0,12.76,3.93,0,0.98,0,0.98,47.12,5.89,0,0.98,34.36,0.98,6.87,2.94,0,0.98,30.43,0,0,0,0,2.94,0.98,0.98,15.71,1.96,0
 84-94,0,0,2.12,0,16.99,0,0,33.99,2.12,3.19,0,47.79,6.37,2.12,1.06,13.81,8.5,0,7.43,1.06,0,27.61,6.37,3.19,3.19,22.3,1.06,3.19,2.12,0,1.06,77.53,0,3.19,0,0,6.37,3.19,0,11.68,0,2.12
 96-106,0,0,2.19,0,16.39,2.19,1.09,51.36,5.46,1.09,1.09,71.04,4.37,0,1.09,10.93,15.3,0,4.37,1.09,1.09,36.06,8.74,1.09,5.46,25.14,1.09,3.28,5.46,0,2.19,106.01,0,2.19,2.19,0,2.19,2.19,2.19,13.11,1.09,2.19
108-118,0,0,2.3,0,25.28,1.53,2.3,41.36,2.3,3.06,1.53,88.85,10.72,0,0,9.96,3.06,3.83,6.13,0,1.53,36.77,3.06,2.3,5.36,36.77,0.77,9.19,3.83,0,0.77,83.49,0,1.53,2.3,0,3.06,3.83,0,15.32,0.77,2.3
120,0,0,1.96,0,25.48,1.96,0,19.6,3.92,1.96,0,74.47,13.72,0,0,13.72,1.96,7.84,3.92,0,0,29.4,7.84,1.96,9.8,43.12,3.92,7.84,3.92,0,1.96,99.95,0,3.92,0,0,1.96,3.92,0,13.72,0,1.96
