stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,7.89,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,53.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,18,4,4,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,2,55,0,2,2,1,1,20,5,0,19,26,0,0,1,0
 24-34,0,0,0,0,0.82,0,4.1,0,0,0,4.1,0,0,0,0,0,0,0,0,3.28,0,0,1.64,26.27,0.82,1.64,0.82,0,4.93,0,0.82,0,1.64,19.7,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,3.22,0,0,0,2.42,0,0,0,0.81,0,0.81,0,0,2.42,0,0,1.61,30.62,0.81,0.81,0,0,2.42,0,0,0,0,12.09,0,0,1.61,0
 48-58,0,0,0,0,1.72,0,5.74,0,0,0.57,4.02,0.57,0,0,0.57,0,0,0.57,0.57,3.44,0,0,0.57,14.92,0.57,1.15,0.57,0,4.59,0,1.15,0.57,0,7.46,0,0,0,0
 60-70,0,0,0,0,1.96,0,13.74,0.98,0.98,0,0.98,0,1.96,0,0,0,0,0,0,7.85,0,0,0,8.83,0,4.91,0,0,3.93,0,0.98,0,0,5.89,0,0,0,0
 72-82,0,0,0,0,0.98,0,8.83,0,0,0.98,5.89,0,0,0,0,0,0.98,0,0,6.87,1.96,0,1.96,8.83,0,4.91,2.94,0,0.98,0,1.96,0,0,1.96,0.98,0,0,0
 84-94,0,0,0,0,2.12,0,6.37,0,1.06,1.06,1.06,4.25,0,0,1.06,0,0,0,1.06,5.31,0,1.06,1.06,5.31,3.19,2.12,3.19,0,9.56,0,0,0,0,1.06,0,1.06,1.06,0
 96-106,0,0,1.09,0,1.09,1.09,4.37,0,0,0,4.37,1.09,0,0,0,1.09,1.09,0,0,5.46,0,0,0,12.02,0,0,3.28,0,4.37,0,0,0,0,3.28,0,1.09,1.09,2.19
108-118,0,0,0,0,6.89,0.77,6.13,0.77,1.53,0.77,6.89,3.83,0,0,0.77,0,0,3.06,0.77,9.19,0,0.77,0,7.66,0.77,4.6,2.3,0,7.66,0,0.77,0,0,0.77,0,0.77,0,0
120,0,0,0,0,23.52,0,3.92,0,1.96,0,1.96,9.8,0,1.96,1.96,0,1.96,0,0,5.88,0,0,0,9.8,1.96,3.92,1.96,0,13.72,0,3.92,0,0,0,0,0,0,0
