stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,44.69,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,5,3,0,5,0,0,0,0,1,0,0,0,0,0,8,0,3,152,3,1,1,0,0,1,0,3,35,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,14.78,0,0,0,3.28,0,0,0,0,0.82,0,0,0,0.82,349.68,0.82,16.42,0.82,0,0,0,0,0.82,72.24,0,0,0.82,0,1.64
 36-46,0,0,0,0,1.61,0,0,26.59,0,0,0,3.22,0,0,0.81,0,0,0,4.03,0,1.61,692.07,0.81,14.5,0,0,1.61,0,0,0,115.21,0,0,0,0,5.64
 48-58,0,0,0,0,0.57,0,0,112.47,0,0,0,6.31,0,0,0,0,0,0.57,4.59,0,1.72,819.39,0,9.18,0.57,0,1.15,0,0,0,136.57,0,0,0.57,0,4.02
 60-70,0,0,0,0,0.98,0,0,224.77,0.98,0,0,4.91,0,0,0,0,0.98,0,2.94,0.98,1.96,1245.55,0,6.87,0,0,0,0,0,0,143.3,0,0,0.98,0,1.96
 72-82,0,0,0.98,0,2.94,0.98,0,235.6,0,0,0,17.67,0.98,0,0,2.94,0.98,0,9.82,0,3.93,919.82,0.98,13.74,0,0,0.98,0,0,0,62.83,0,0.98,0.98,0.98,2.94
 84-94,0,0,0,0,2.12,1.06,0,160.37,0,0,0,15.93,1.06,0,0,0,3.19,0,6.37,1.06,1.06,511.9,0,7.43,0,0,0,0,0,0,45.67,0,0,2.12,0,3.19
 96-106,0,0,1.09,0,2.19,3.28,0,99.45,0,0,0,14.21,1.09,0,0,1.09,2.19,0,8.74,1.09,1.09,344.25,0,13.11,0,0,0,0,0,0,13.11,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0,0.77,80.43,0,0,0.77,8.43,0,0,0,0,1.53,0,8.43,0,1.53,435.07,0,7.66,0,0,0.77,0,0,0,10.72,0.77,0.77,0,0,3.83
120,1.96,0,0,0,3.92,0,0,82.31,0,1.96,0,19.6,0,0,0,1.96,0,0,3.92,0,3.92,386.08,0,5.88,0,0,3.92,0,0,0,5.88,0,0,0,0,1.96
