stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,13,1,0,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,0,0,0,1.64,0,1.64,0,2.46,0.82,0,20.52,5.75,0,0,99.32,0,1.64,0
 36-46,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,27.39,6.45,0,0,74.12,0,1.61,0
 48-58,0,0,1.72,0,1.15,0,0,0,0,3.44,0,0,1.15,0,0,0,2.3,1.15,0.57,23.53,1.72,0,0,53.94,0,1.15,0
 60-70,0,0,0.98,0,2.94,3.93,0,0,0,0.98,0,0,0,0,0.98,0,1.96,0.98,0,24.54,3.93,0,0,66.74,0,0.98,0
 72-82,0,0,2.94,0,2.94,0.98,0,0,1.96,0.98,0,0,0.98,0,1.96,0,5.89,3.93,0,30.43,2.94,0.98,0,51.05,0,0,6.87
 84-94,0,1.06,10.62,0,3.19,1.06,1.06,0,1.06,6.37,0,0,2.12,0,3.19,0,1.06,1.06,0,22.3,3.19,4.25,0,202.85,0,1.06,27.61
 96-106,0,0,17.49,0,3.28,3.28,0,2.19,3.28,0,1.09,1.09,4.37,0,6.56,2.19,1.09,3.28,0,12.02,4.37,3.28,0,163.93,0,0,69.94
108-118,0,0,13.02,0,0,0,0,0.77,0,0,0,0,2.3,0,6.89,0,0.77,1.53,0,11.49,4.6,3.06,0,116.43,0,0,78.89
120,0,0,17.64,1.96,3.92,3.92,0,0,0,0,0,0,0,1.96,3.92,0,3.92,3.92,0,17.64,5.88,3.92,0,113.67,0,0,33.32
