stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0.82,0,4.93,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,4.83,0.81
 48-58,0,0,0.57,0,1.15,0,0,0,0,0,0,0.57,4.59,0,0,2.3,0.57
 60-70,0,0,3.93,0,0,0,0.98,0,0,0,0,0,11.78,0,0,7.85,0.98
 72-82,0,0.98,0.98,0,1.96,0,0,0,2.94,0,0,0,6.87,0,0.98,8.83,0.98
 84-94,0,1.06,2.12,1.06,0,0,1.06,1.06,0,0,1.06,1.06,6.37,0,0,38.23,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,7.65,1.09,0,20.76,0
108-118,0,1.53,0.77,0.77,0,0.77,0.77,0,0,0,0,0,4.6,0,0,19.15,0
120,0,3.92,0,0,0,0,1.96,1.96,0,1.96,0,1.96,1.96,0,0,9.8,0
