stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,12,0,0,1,0,0,0,1,0,2,0,3,2,0,2,9,0,0,4,4,0,1,3,3,0,0,0,0,1
 24-34,0,0,0,32.83,0,0,1.64,0,1.64,0,0,0,1.64,0,0.82,1.64,0,1.64,9.85,0,0,7.39,0,0,0,3.28,5.75,0,0,0,0,0.82
 36-46,0,0.81,0,20.14,0,0,0.81,0,0.81,0,0,0,0,0.81,1.61,4.03,0,0.81,4.03,0,0,3.22,0,0,0.81,0,0,0,0,0.81,0,0
 48-58,0,1.15,0,18.36,0,0,1.15,0,2.3,0,0,0.57,0,0,0.57,10.9,0,0,5.16,0,0,1.72,0,0,0.57,0,1.72,0,0,0,0,0
 60-70,0,0,0,16.69,0,0,7.85,0.98,3.93,1.96,0,0.98,0,0,1.96,4.91,0,1.96,9.82,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0.98
 72-82,0,0,0,17.67,0.98,0,13.74,0,1.96,0.98,0,1.96,0,0,2.94,12.76,0,0,20.61,0,0,0,0,0.98,0,0,0,0,0.98,1.96,0.98,0
 84-94,0,0,0,35.05,0,0,12.74,1.06,4.25,1.06,0,1.06,1.06,0,1.06,6.37,1.06,0,10.62,0,0,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,13.11,1.09,1.09,16.39,1.09,1.09,3.28,4.37,0,0,0,3.28,1.09,2.19,2.19,8.74,0,0,0,0,0,0,0,0,0,1.09,2.19,3.28,0
108-118,0,0,0.77,26.04,0.77,9.19,14.55,0,3.83,0.77,0.77,0,0,0,4.6,3.06,0.77,0.77,19.15,0,0.77,0.77,0,0,0,0,1.53,0.77,0.77,0.77,3.06,0
120,0,0,0,17.64,0,0,9.8,0,1.96,0,0,0,0,0,7.84,5.88,0,0,27.44,0,0,0,0,1.96,0,0,0,0,0,0,0,0
