stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,1,1,0,2,0,0,0,0
 24-34,0,0,3.28,0.82,0,0,0,0,0,0,3.28,0.82,0.82,0,0,0,4.1,0,0.82,0,0.82,4.1,0,0,5.75,0,0.82,0,2.46,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0.81,0,0,0,0,3.22,0.81,0,4.83,0,0,0,1.61,0.81,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,1.15,5.16,0,0,0,0,0,1.15,0,1.15,0,0.57,8.03,0.57,0,3.44,0,0.57,0,1.72,0,0,0
 60-70,0,0,0,1.96,0,0,2.94,0,0,1.96,2.94,0,0,0,0,0,1.96,0,3.93,0,0,8.83,0,0,8.83,0,2.94,0,0.98,0,0,0
 72-82,0,0.98,0,0.98,1.96,0,5.89,0,0,0.98,8.83,0.98,0,0,0.98,0.98,12.76,0,4.91,0.98,0,14.72,0,0.98,15.71,0,2.94,0,0.98,0,0.98,1.96
 84-94,0,3.19,0,3.19,0,0,3.19,0,0,0,16.99,0,0,0,0,0,48.85,0,1.06,0,0,7.43,0,1.06,19.12,0,18.05,0,0,0,0,1.06
 96-106,0,2.19,0,5.46,0,0,2.19,1.09,1.09,5.46,53.55,0,0,0,0,1.09,40.44,0,6.56,0,1.09,19.67,1.09,1.09,17.49,0,15.3,0,1.09,1.09,0,0
108-118,0,4.6,0,4.6,0.77,0.77,2.3,0.77,0,1.53,85.02,0,0,0,1.53,0,138.64,0.77,4.6,0,2.3,15.32,0,0,16.85,0,26.81,0,1.53,0.77,0,0.77
120,0,1.96,0,3.92,1.96,0,1.96,0,0,3.92,92.11,0,3.92,1.96,0,0,62.71,0,0,0,3.92,13.72,0,0,23.52,0,27.44,0,0,0,0,1.96
