stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,416.82,2819.63,0,36.78,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,815.24,6.13,0,0,306.48,12.26,0,0,0,0,0,0,0,0,0
  7-9,44.69,120.92,0,176.12,0,0,0,113.03,0,0,0,92,0,0,0,0,0,0,0,0,0,0,1127.72,65.72,0,0,4137.59,0,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,144.76,0,229.73,0,3.15,0,110.14,0,0,0,31.47,0,0,0,0,0,6.29,0,0,0,0,1365.78,75.53,0,0,4503.31,6.29,6.29,12.59,166.79,0,25.18,0,0,0,0
 14-21,1,6,0,1,32,31,0,11,0,5,0,3,0,0,3,0,0,1,1,21,0,28,240,32,1,1,202,8,0,1746,6,22,337,88,0,3,1
 24-34,0,0,0,0,4.1,3.28,0,15.6,1.64,4.93,0,0,0,0.82,0,0,0.82,0.82,0,19.7,0,2.46,197.01,1.64,1.64,0,0,4.1,0,1.64,0.82,0,118.2,41.86,0,1.64,0
 36-46,0,0,0,0,0.81,1.61,0,19.34,0,7.25,0,0,0,0,0,0,0,0,0,12.09,0,4.03,99.1,1.61,1.61,0,0,0.81,0,0,0,0,0.81,20.95,0,0,0
 48-58,0,0,0,0,0,0,0,27.54,1.72,2.3,0,0,1.15,0,0,0,0,0,0,23.53,0,2.87,59.68,0.57,0.57,0,0,1.72,0,0,0,0,0,10.33,0,0.57,0.57
 60-70,0,0,0,0,0.98,0,0,16.69,0.98,1.96,0,0,0,0.98,0,0,0,0,0,31.41,0,0,30.43,0.98,0.98,0,0,2.94,0,0,0.98,0,0,2.94,0,0.98,0
 72-82,0,0,0,0,1.96,0,0,11.78,0,7.85,0,0,0,1.96,0,0,0,0,0,12.76,1.96,2.94,29.45,0,0,1.96,0,0,0,0,0,0,0,3.93,0,1.96,0
 84-94,0,0,1.06,0,2.12,1.06,0,7.43,2.12,6.37,2.12,0,0,1.06,0,0,0,0,0,15.93,3.19,1.06,18.05,1.06,1.06,1.06,0,2.12,0,0,1.06,0,0,4.25,1.06,3.19,0
 96-106,0,0,0,0,2.19,0,0,13.11,0,5.46,2.19,0,0,0,0,1.09,0,0,0,8.74,0,1.09,16.39,0,3.28,0,0,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,2.3,1.53,0,6.89,0.77,5.36,0,0,0,2.3,0,0,0,0,0,6.89,0.77,3.06,26.04,0.77,1.53,0.77,0,0,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,0,1.96,1.96,5.88,1.96,3.92,0,0,0,3.92,0,0,0,0,0,5.88,0,1.96,15.68,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
