stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,6.29,44.06,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,75,22,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,336,0,0,195,65,159,0,0,0,0,0,13,1,0,4,9,0,0,1,0,0
 24-34,0,0,0.82,89.47,4.93,0,3.28,0,91.94,4.1,1.64,0,0.82,24.63,0,0.82,0,0,7.39,0,504.01,0.82,2.46,114.1,67.31,64.85,0,1.64,0,0,4.1,0,0,0.82,5.75,17.24,0,0,0.82,0,0
 36-46,0,0,0,15.31,0.81,0,7.25,0,73.32,27.39,3.22,0,0,29,0,0.81,1.61,0,2.42,0,612.31,0.81,16.92,87.01,61.23,26.59,0.81,0,0,2.42,1.61,0,0,0,0,8.86,0,1.61,2.42,0,1.61
 48-58,0,0,0.57,10.9,0.57,0,25.82,0,78.61,49.35,2.87,0,0,23.53,0,0.57,1.15,0,1.72,0,864.72,0.57,18.36,103.86,44.76,18.94,0,1.15,0,3.44,1.15,0,0,0.57,0,8.61,0,3.44,1.15,2.3,0.57
 60-70,0,0,0,13.74,0,0,20.61,0,77.54,80.48,6.87,0,0,13.74,0,1.96,5.89,0,2.94,0,1148.38,0,20.61,89.32,33.37,8.83,0,2.94,0,14.72,1.96,0,0,0,0,7.85,0,18.65,0.98,8.83,0
 72-82,0,0,0,7.85,0,0,64.79,0.98,47.12,116.82,6.87,0.98,0,20.61,1.96,7.85,5.89,0,0.98,0,1336.04,0,42.21,92.28,53.99,2.94,0,0.98,0,14.72,4.91,0,0.98,0,0,0.98,0.98,36.32,0.98,28.47,0
 84-94,0,0,0,24.43,0,0,109.39,0,125.32,95.58,7.43,2.12,0,18.05,2.12,8.5,13.81,1.06,0,1.06,914.41,1.06,40.36,69.03,19.12,13.81,1.06,0,0,9.56,5.31,0,1.06,1.06,0,0,0,19.12,0,39.3,0
 96-106,0,0,1.09,37.16,4.37,0,80.87,0,120.21,78.68,13.11,2.19,0,21.86,2.19,16.39,18.58,1.09,3.28,0,955.15,1.09,49.18,63.39,69.94,5.46,2.19,4.37,0,30.6,5.46,0,3.28,0,0,1.09,1.09,34.97,2.19,72.13,1.09
108-118,0,0,0,39.83,2.3,0.77,21.45,0.77,122.55,73.53,4.6,1.53,0,13.02,3.06,13.79,17.62,0.77,0,0,801.2,0.77,43.66,45.96,55.15,1.53,0,2.3,0,15.32,0.77,0,0,0.77,0,1.53,1.53,26.81,0.77,33.7,0.77
120,1.96,0,0,64.67,0,0,27.44,0,90.15,52.91,5.88,1.96,1.96,15.68,1.96,5.88,15.68,1.96,0,0,666.33,0,47.03,48.99,39.2,3.92,0,5.88,0,19.6,3.92,0,0,0,0,1.96,0,27.44,1.96,64.67,0
