stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,7.89,0,0,149.84,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,34.62,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.76,31.47,0,0,654.57,0,0,3.15,0,18.88,0,12.59,6.29,0,0,0,0,0
 14-21,0,0,0,1,29,18,28,0,0,0,14,6,1,0,1,0,0,0,0,107,0,0,210,190,90,0,2,101,0,0,0,179,5,10,432,281,0,0,28,0,0
 24-34,0,0.82,0,0,20.52,7.39,104.25,0,0,3.28,4.1,0,11.49,0,0,0.82,0,0,3.28,420.28,0,0.82,261.85,311.1,15.6,0.82,2.46,0.82,0,0.82,0,0.82,0.82,0,73.88,82.09,0,0,95.22,0,0.82
 36-46,0,0,0,0,8.06,0.81,62.84,0,3.22,22.56,10.47,0.81,7.25,0,0,0.81,0,0,0.81,634.06,0,8.86,222.36,265.07,2.42,0,7.25,0,0,1.61,0,0,0,0,0,52.37,0,2.42,62.04,0.81,0
 48-58,0,0,0,0,3.44,0,50.49,0,1.15,31.56,21.23,0,5.74,0,0,0.57,0,0.57,0,722.42,0.57,14.92,168.7,122.22,0.57,0,5.16,0,1.15,0.57,0,0,0.57,0,0,32.13,0,2.87,19.51,0,0.57
 60-70,0.98,0,0,0,2.94,0,43.19,0,1.96,22.58,22.58,0,1.96,0,0,0,0,0.98,0,851.96,0,21.59,110.91,73.61,0,0,4.91,0,9.82,0.98,0,0,0,0,0,16.69,0,5.89,8.83,1.96,0
 72-82,0,0,0.98,0,5.89,2.94,66.75,0.98,0.98,65.77,38.28,0.98,3.93,0,0,0,0,0,0,1096.52,0,16.69,135.47,57.92,0,0.98,6.87,0,8.83,3.93,0,0,0,0,0,3.93,0,16.69,32.39,12.76,0
 84-94,0,0,1.06,0,7.43,0,98.77,1.06,1.06,37.17,18.05,1.06,3.19,2.12,0,0,0,0,1.06,788.03,0,23.36,91.34,47.79,1.06,0,7.43,0,7.43,1.06,0,0,2.12,0,0,7.43,0,9.56,19.12,11.68,1.06
 96-106,0,0,2.19,0,6.56,2.19,67.76,0,1.09,26.23,19.67,1.09,0,0,1.09,1.09,0,1.09,1.09,710.35,0,9.84,63.39,75.41,0,1.09,8.74,0,17.49,2.19,0,0,2.19,0,0,1.09,0,12.02,14.21,12.02,1.09
108-118,0,0,1.53,0,2.3,0,39.06,0,2.3,36.77,16.85,0,0.77,0.77,0,0.77,0.77,0,0,606.64,0.77,9.96,62.81,53.62,0,0,3.83,0,10.72,0,0,0,2.3,0.77,0,0.77,0.77,3.06,13.02,4.6,3.83
120,0,0,0,0,7.84,0,45.08,0,3.92,33.32,27.44,0,3.92,1.96,0,1.96,0,0,1.96,472.31,0,11.76,39.2,60.75,0,0,3.92,0,9.8,1.96,0,0,0,0,0,0,0,9.8,13.72,1.96,0
