stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,1,4,0,4,0,0,0,1,0,0,2,0,4,0,0,0,0,2,0,0,2,32,1,0,0,0,4,1,0,64,45,34,0,0,8,0,0
 24-34,0,0,0.82,0.82,0.82,1.64,0,8.21,0,0,0,0.82,0.82,0,4.1,0.82,0.82,0,0.82,3.28,0,3.28,0,0,7.39,158.43,0.82,0,0,0,25.45,0,1.64,9.03,5.75,89.47,0,0,35.3,0,0.82
 36-46,0,0,0,0,1.61,0.81,0,7.25,3.22,0,0,2.42,0,0,0.81,1.61,0.81,0,0,0.81,0.81,4.03,0,0,2.42,228.81,0,2.42,0,0,21.75,0,0,1.61,0,136.16,0,0,25.78,0,1.61
 48-58,0,0,0,0,2.87,0,0,14.35,2.3,0,0.57,9.75,0,0,1.15,0,0,0,0.57,0.57,1.15,6.31,0,0,2.3,197.39,0,0.57,1.72,0,16.07,0,0,2.3,0,96.4,0,0,18.36,0,0.57
 60-70,0,0,0,0,3.93,0,0,43.19,0.98,0,0,19.63,0.98,0.98,0.98,2.94,0.98,0,0,1.96,0.98,11.78,0.98,0,2.94,348.44,0,0.98,0.98,0,18.65,0,0,0,0,80.48,0,0,25.52,0,3.93
 72-82,0,0,1.96,0,2.94,0.98,0,72.64,1.96,0,0,51.05,2.94,0,2.94,3.93,2.94,0,1.96,0,0,17.67,0,0.98,1.96,425.06,0,2.94,0,0,17.67,0,0,0.98,0,46.14,0.98,0.98,70.68,1.96,1.96
 84-94,0,0,0,0,20.18,0,0,61.6,1.06,0,1.06,21.24,5.31,2.12,2.12,7.43,2.12,1.06,2.12,0,1.06,20.18,0,1.06,4.25,247.45,0,0,0,0,39.3,0,0,1.06,0,38.23,4.25,1.06,43.54,2.12,0
 96-106,0,0,1.09,0,16.39,2.19,0,64.48,1.09,0,1.09,44.81,4.37,0,3.28,12.02,3.28,1.09,3.28,0,1.09,14.21,3.28,1.09,2.19,220.76,0,2.19,2.19,0,42.62,0,0,0,0,28.41,4.37,1.09,49.18,2.19,2.19
108-118,0,0,0,0,22.21,0,3.06,70.47,0.77,0.77,0,23.74,13.02,0,1.53,12.26,3.06,5.36,1.53,1.53,9.19,12.26,0.77,0.77,6.13,268.09,0,1.53,2.3,0,21.45,0,0,0.77,0,10.72,5.36,0.77,45.19,3.06,6.13
120,0,0,3.92,0,15.68,0,0,39.2,1.96,1.96,1.96,37.24,7.84,0,1.96,9.8,1.96,1.96,3.92,1.96,1.96,5.88,0,1.96,0,292.01,0,3.92,1.96,0,23.52,0,0,0,0,23.52,5.88,0,33.32,0,1.96
