stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,13.14,0,0,0,0,2.63,0,0,0,0,60.46,5.26,0,15.77,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,50.35,6.29,0,9.44,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,1,0,0,2,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,2.46,18.88,0,0.82,0,0.82,0,0,1.64,3.28,0,0.82
 36-46,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0.81,0,0,7.25,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,6.89,0,0,0.57,0.57,0,0,2.3,0,1.15,8.03,0,0,0,1.15,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,2.94,0,0.98,0,1.96,0,0,1.96,0.98,1.96,5.89,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0.77,0,0,0.77,0,0,3.06,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,0,0,1.96,0,1.96,5.88,0,1.96,7.84,0,0,0,0,0,0,0,0,1.96,1.96
