stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,21.03,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,107.78,5.26,0,0,26.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,28.32,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,16,0,1,0,1,1,4,0,5,8,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,1.64,0,0,0,0,0,0,0,2.46,0,1.64,28.73,1.64,0.82,0,0,3.28,0,0.82,0,12.31,0,0,0
 36-46,0,0,0,0,1.61,0,2.42,0.81,0,0,2.42,0,0,0,0.81,0,0,0,3.22,0,1.61,38.67,1.61,2.42,0,0,1.61,0,0,0,11.28,0,0.81,0
 48-58,0,0,0,0,1.15,0,6.89,0.57,0,0,2.3,0,0,0,0,0,0,0,8.61,0.57,0,36.72,0.57,0,0,0,5.74,0,0,0,11.48,0,0.57,0
 60-70,0,0,0.98,0,1.96,0,12.76,0,0,0,3.93,0,0,0,0,0.98,0,0,7.85,0,0,69.69,0,0,0.98,0,3.93,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,2.94,0,18.65,0,0,0.98,5.89,0.98,0,0.98,0.98,0,0,0,9.82,0.98,0,56.94,0,0.98,0,0,6.87,0,0,0,6.87,0.98,0,0
 84-94,0,0,0,0,2.12,0,16.99,0,0,0,3.19,0,0,0,1.06,0,1.06,0,1.06,1.06,0,23.36,0,0,0,0,11.68,0,0,0,2.12,0,2.12,0
 96-106,0,0,0,0,5.46,0,9.84,0,0,0,5.46,1.09,0,1.09,1.09,0,0,0,1.09,0,0,21.86,0,3.28,1.09,0,10.93,0,0,0,2.19,0,2.19,1.09
108-118,0,0,0.77,0,3.06,0,8.43,0,1.53,0,0.77,2.3,0,1.53,1.53,1.53,0,1.53,2.3,0,1.53,31.4,0,2.3,0,0,12.26,0,0.77,0,1.53,0.77,0,0
120,0,0,0,0,3.92,0,7.84,0,0,1.96,7.84,1.96,0,1.96,1.96,0,0,0,5.88,0,1.96,21.56,0,0,0,0,5.88,0,0,0,0,0,1.96,0
