stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,iridophores,liver,mesenchyme,mural.cell,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,9.85,0,2.46,0
 36-46,0,0,0,0.81,0.81,0.81,0,0,0,0,0,8.06,0,0.81,0.81
 48-58,0,0,0.57,0,0,0,0,0,0,0.57,0,4.02,0,0.57,0.57
 60-70,0,0,0,0.98,0,0.98,0.98,0,0.98,0,0,3.93,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,1.06,2.12,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0.77,0,0.77,0,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0
