stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,55.17,134.85,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.72,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,15.77,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,36.8,2.63,0,7.89,0,49.95,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,25.18,6.29,0,15.73,0,31.47,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,26,5,3,3,0,0,0,0,0
 24-34,0,0,0.82,7.39,0,0,0,3.28,0,0,0.82,0,0,0,0.82,0,0,4.93,0.82,0.82,0,0,68.13,13.13,0,12.31,0,0,0,0,0
 36-46,0,0,0,5.64,0,0,0,1.61,0,0,1.61,0,0,0,0.81,0,0,9.67,0,0,0,0,62.84,8.86,0,12.89,0,0,0,0,0.81
 48-58,0,0,0,4.02,0.57,3.44,0.57,1.72,1.15,0,0,0,0,1.72,0,0,1.15,5.16,0,0,0,0,28.12,2.3,0,3.44,0,0,0,0,0
 60-70,0,0,0,11.78,2.94,4.91,0,1.96,2.94,0,2.94,0,0.98,0,0.98,0,0,5.89,0,0,0,0,50.06,1.96,0,4.91,0.98,0,0,0,0
 72-82,0,0,0,8.83,1.96,1.96,0,5.89,1.96,0,16.69,0,0,0,0.98,0,0,4.91,0,0,0,0,56.94,0.98,0,1.96,0.98,0,0,0,0
 84-94,0,0,0,27.61,0,11.68,0,3.19,11.68,0,18.05,0,0,0,3.19,0,0,4.25,0,0,0,0,184.79,4.25,0,3.19,1.06,1.06,0,0,0
 96-106,0,0,0,38.25,3.28,4.37,0,4.37,13.11,0,20.76,0,1.09,1.09,0,3.28,1.09,2.19,0,1.09,0,0,165.02,0,0,3.28,3.28,0,0,1.09,0
108-118,0,0,0.77,49.02,0.77,8.43,0,0.77,19.15,0,22.98,0,2.3,1.53,5.36,0,0,6.13,0,0.77,0,0.77,149.36,6.13,0,0.77,1.53,0,0.77,0,0
120,0,0,0,76.43,0,13.72,0,5.88,25.48,0,19.6,1.96,0,7.84,3.92,1.96,0,11.76,0,0,0,0,92.11,7.84,0,5.88,0,1.96,0,0,0
