stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,mesenchyme,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
 24-34,0,7.39,0,0,0.82,0,0.82,0,0,4.1,0.82,0,0,0,0,0,0,0
 36-46,0.81,7.25,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0
 48-58,0,6.89,0,0,0,0.57,0.57,0,0.57,1.15,0,0.57,1.15,0,0,0.57,0,0
 60-70,0,4.91,0,0,0,0.98,0,0,0.98,1.96,0,0,0,0,0,0,0,0
 72-82,0,2.94,1.96,0,0,0.98,0,1.96,4.91,1.96,0,0.98,0,2.94,0,0.98,0,0
 84-94,0,8.5,0,0,0,2.12,0,1.06,4.25,0,0,0,0,0,0,0,1.06,0
 96-106,2.19,3.28,0,0,0,0,0,0,4.37,1.09,0,0,1.09,10.93,0,0,0,2.19
108-118,0.77,4.6,0,0,0,0,0,2.3,1.53,1.53,0,0.77,0,9.96,0,0,0,0.77
120,0,1.96,0,1.96,0,0,0,5.88,1.96,0,0,0,0,3.92,0,0,0,0
