stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste
 10-12,9.44,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,0,27,1,2,0,0,2,0,23,0,0,1,0,4,0
 24-34,0.82,2.46,1.64,154.32,0,0,0,0.82,2.46,1.64,71.41,0,0,0,0.82,13.13,0
 36-46,0.81,3.22,0,114.41,0,0.81,0,0,0.81,0.81,20.14,0,0,0.81,0,3.22,0
 48-58,1.15,3.44,0,51.64,0,0.57,0,0.57,2.3,0.57,3.44,0,0,0,0,0.57,0
 60-70,0,2.94,0,19.63,0,0.98,0,0,2.94,0,2.94,0,0,0,0.98,0,0
 72-82,0,1.96,0,16.69,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,0,25.49,0,0,0,0,0,0,1.06,0,1.06,0,4.25,1.06,0
 96-106,0,2.19,0,24.04,0,1.09,0,0,0,1.09,3.28,0,0,0,0,0,0
108-118,0,0.77,0,22.98,0,0,0,0,0,0,0,0.77,0,0,1.53,0,0
120,0,0,1.96,31.36,0,1.96,0,0,0,0,0,0,0,0,0,0,0
