stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,63,8,0,9,0,0,0,6,6,2,0,0,2,0,0,0,1,23,0,0,9,109,6,1,1,2,0,22,37,3,1,28,47,0,0,1,0,0
 24-34,0,24.63,2.46,0,15.6,0,1.64,0.82,3.28,3.28,0,0,0.82,4.1,0.82,0.82,0.82,0.82,23.8,2.46,0,9.85,205.21,1.64,2.46,6.57,0,0,64.03,0,4.1,0.82,4.93,84.55,0,0,4.1,0,2.46
 36-46,0,5.64,0.81,0,33.03,0,0.81,0.81,8.86,0,0,0,0.81,0,0,0.81,0.81,0.81,21.75,0,0.81,6.45,211.89,0,3.22,0,0,0,24.98,0,0.81,0,0,113.6,0,0,1.61,0,0
 48-58,0,1.72,2.3,0,38.44,0.57,0,0.57,13.2,0,0,1.15,1.15,0.57,0,1.15,0.57,2.3,15.49,1.15,1.15,2.3,181.9,0.57,0.57,0.57,0,0,14.92,0,0.57,0,0,55.66,0,0,2.87,0,2.3
 60-70,0,6.87,1.96,0,81.47,0,3.93,0.98,29.45,0,0,0,1.96,0.98,0.98,0,0,0,23.56,0,0,5.89,211.03,0,1.96,3.93,0,0,29.45,0,2.94,0.98,0,49.08,0,0,0,0,3.93
 72-82,0,3.93,1.96,0.98,55.95,0,0,1.96,60.86,0,0.98,0,1.96,1.96,0.98,0,1.96,0,44.17,0,0.98,0,155.1,0,0.98,3.93,0,0,13.74,0,0.98,0,0,38.28,0,1.96,1.96,0.98,1.96
 84-94,0,8.5,1.06,0,45.67,0,1.06,2.12,35.05,2.12,0,1.06,1.06,2.12,1.06,1.06,0,0,32.92,1.06,5.31,1.06,110.45,1.06,2.12,2.12,0,0,26.55,0,2.12,0,0,32.92,0,3.19,2.12,1.06,0
 96-106,0,6.56,1.09,1.09,27.32,0,0,0,29.51,0,0,0,2.19,1.09,1.09,0,0,2.19,48.09,1.09,0,1.09,83.06,0,2.19,2.19,0,1.09,22.95,0,0,0,0,16.39,2.19,0,1.09,2.19,0
108-118,0,0.77,0.77,1.53,28.34,0,0,0.77,30.64,1.53,0,0,1.53,1.53,0,1.53,0,0,23.74,0,0.77,3.06,108.77,0,3.06,5.36,0,0,7.66,0,0.77,0,0,6.89,0.77,0,1.53,0.77,0
120,1.96,5.88,1.96,0,23.52,0,1.96,1.96,52.91,3.92,0,1.96,1.96,1.96,1.96,0,1.96,0,13.72,1.96,0,0,92.11,0,0,1.96,0,0,15.68,0,5.88,0,0,7.84,0,0,1.96,0,0
