stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,11,115,37,0,157,0,0,0,4,2,4,1,1,0,0,0,1,2,70,0,0,64,768,12,1,6,26,0,2,0,231,7,8,367,172,0,0,0,0,2
 24-34,0,3.28,18.88,3.28,0,190.44,2.46,0.82,1.64,3.28,1.64,0.82,0,2.46,1.64,2.46,2.46,2.46,3.28,93.58,0,1.64,28.73,457.22,0,0.82,9.03,0,0,8.21,0,0.82,0.82,2.46,46.79,64.85,0,0,4.1,0,3.28
 36-46,0,1.61,5.64,1.61,0,67.68,3.22,0.81,0,8.06,2.42,0,0.81,0.81,0,0,0.81,0,0.81,41.09,0,1.61,14.5,211.89,0,0.81,0.81,0,0.81,3.22,0,0,0,0,3.22,21.75,0,0,4.83,0,0
 48-58,0,0,6.31,0,0,71.15,1.15,0.57,1.15,18.36,3.44,0,0,0.57,0,1.15,0,4.02,0.57,23.53,0.57,2.87,16.64,121.65,1.15,0.57,0,0,0,4.59,0.57,0,0,0.57,0,8.61,0,0,2.87,0,0.57
 60-70,0,0,8.83,0.98,0,62.82,2.94,0,1.96,18.65,10.8,1.96,0.98,0.98,0.98,0.98,1.96,3.93,0,26.5,0.98,3.93,7.85,103.06,0,0,1.96,0,0,7.85,0.98,0,0.98,0,0,7.85,0.98,0,3.93,0,0
 72-82,0,0.98,9.82,3.93,0.98,49.08,1.96,0,2.94,28.47,8.83,0,1.96,4.91,1.96,0.98,0.98,0.98,0,60.86,0,0.98,16.69,99.15,0,1.96,3.93,0,0,10.8,0.98,0,0,0,0,4.91,0,0.98,6.87,0.98,0.98
 84-94,0,0,15.93,7.43,0,45.67,1.06,1.06,2.12,19.12,10.62,0,0,4.25,0,2.12,1.06,3.19,1.06,33.99,1.06,3.19,21.24,49.92,2.12,1.06,2.12,1.06,0,24.43,0,0,0,0,0,4.25,0,1.06,9.56,0,1.06
 96-106,0,0,16.39,6.56,1.09,36.06,2.19,0,2.19,19.67,5.46,0,2.19,12.02,2.19,1.09,2.19,4.37,1.09,51.36,0,0,20.76,49.18,0,2.19,0,0,3.28,32.79,0,0,1.09,0,0,1.09,2.19,2.19,7.65,2.19,0
108-118,0,0,22.98,8.43,1.53,35.23,0.77,3.06,3.06,21.45,4.6,0,0.77,13.02,0.77,3.06,0.77,2.3,0,51.32,0,0.77,23.74,85.02,3.83,2.3,0,0,0,28.34,0,0,0.77,0.77,0,1.53,0,1.53,9.96,1.53,2.3
120,0,0,80.35,19.6,1.96,41.16,1.96,7.84,3.92,35.28,1.96,0,1.96,13.72,1.96,3.92,1.96,5.88,0,52.91,1.96,1.96,37.24,129.35,5.88,1.96,1.96,0,1.96,48.99,0,0,0,0,0,3.92,1.96,0,7.84,1.96,0
