stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,10,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175,0,3,1,4,0,0,2,0,0,14,0,0,0,0,0
 24-34,0,0,0,8.21,0.82,0,5.75,0,15.6,0,1.64,0,0,4.1,0,0,0,0,0.82,0,6.57,0,0,0.82,469.53,0.82,0,2.46,0,0,0.82,0,0,0,45.15,0,0,4.1,0,0
 36-46,0,0,0,2.42,0,0,13.7,0,9.67,0,20.14,0,0,3.22,1.61,0,0,0.81,0,0,20.95,0,0,0.81,682.4,0,0,0,0,0,0,0,0,0,29.81,0,0,0,0,0.81
 48-58,0.57,0,0,4.59,0,0,65.99,0,7.46,0.57,35.58,0,0,1.15,0,0,1.15,0.57,0,1.72,59.68,0,0,9.75,963.42,0,0.57,2.3,0,0.57,1.15,0,0,0.57,82.63,0,0.57,6.31,0,1.15
 60-70,0,0,0,3.93,0,0,57.91,0.98,2.94,1.96,23.56,0,0,0,0,0,0,0,0,0.98,79.5,0,1.96,9.82,928.52,0.98,0,0,0,0,0.98,0,0,0,85.39,0,0,5.89,0.98,1.96
 72-82,0,0,0,12.76,4.91,0,101.11,0.98,0.98,3.93,40.25,0,0.98,0.98,0.98,0,0.98,0,0,0.98,150.19,0,3.93,10.8,698.94,0,0.98,1.96,0,0.98,1.96,0,0,0,58.9,1.96,0.98,26.5,1.96,1.96
 84-94,0,0,1.06,21.24,4.25,0,82.84,0,3.19,2.12,14.87,0,0,0,4.25,2.12,0,0,0,0,110.45,0,3.19,7.43,441.81,0,2.12,4.25,0,0,8.5,0,0,0,35.05,2.12,1.06,36.11,2.12,2.12
 96-106,0,0,0,14.21,4.37,0,74.31,0,2.19,0,33.88,2.19,0,0,1.09,0,0,0,2.19,0,106.01,0,3.28,4.37,339.88,0,1.09,3.28,0,0,10.93,0,0,0,14.21,0,3.28,38.25,2.19,1.09
108-118,0.77,0,0.77,4.6,0.77,0.77,22.98,3.06,4.6,3.06,24.51,0.77,0,0.77,0,0,1.53,0,1.53,0.77,94.21,0,0,3.83,472.6,0,0.77,1.53,0,2.3,1.53,0,0.77,0,8.43,1.53,0,22.98,0.77,1.53
120,0,0,0,13.72,3.92,0,58.79,1.96,5.88,1.96,23.52,0,0,0,0,0,0,0,0,0,52.91,1.96,0,0,454.67,0,0,5.88,0,0,1.96,0,0,0,0,0,0,23.52,0,0
